,Measure,Groovy Samba,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,14,Bbmaj7,Bb,26.0,15.008235931396484,73.83940124511719,395.5058288574219,86.90432739257812,176.0185546875,1001.6123046875,140.3343048095703,11.896035194396973,40.81829833984375,262.0643310546875,136.6757049560547,19.690696716308594
14,15,C#min7,C#,28.0,103.79012298583984,404.8338623046875,101.00749969482422,163.1364288330078,988.5986938476562,336.6586608886719,220.60951232910156,59.597415924072266,194.7877197265625,60.73079299926758,55.9388427734375,221.4678497314453
15,16,F#7,F#,30.0,115.9754867553711,538.7548828125,191.7106475830078,184.7498779296875,993.2849731445312,309.3347473144531,597.4072265625,1619.9017333984375,282.57550048828125,48.375701904296875,119.5338134765625,51.83890914916992
16,17,Bmaj7,B,32.0,73.30850219726562,59.57051467895508,172.70367431640625,812.2977905273438,198.68450927734375,139.62081909179688,708.4406127929688,128.875732421875,16.960121154785156,31.829389572143555,267.9334411621094,475.9615478515625
17,18,A7,A,34.0,71.58084869384766,172.51075744628906,279.785400390625,111.04622650146484,255.1376953125,89.07439422607422,255.06103515625,1229.331787109375,214.4257049560547,60.86692428588867,25.35079002380371,36.78071212768555
18,18,D7,D,35.0,105.9100112915039,70.3031997680664,165.6680450439453,54.23733139038086,77.02649688720703,112.31393432617188,201.0052947998047,60.709197998046875,28.62255859375,120.70257568359375,138.77078247070312,52.81916427612305
19,19,Gmin7,G,36.0,58.13090133666992,100.7190933227539,347.5177001953125,98.05025482177734,236.76617431640625,991.18310546875,215.9351806640625,169.38819885253906,32.380496978759766,64.49140930175781,123.7380599975586,46.398746490478516
20,20,Ab7,Ab,38.0,662.2802124023438,204.1273193359375,565.0304565429688,1370.890625,375.3040771484375,251.4636688232422,630.6163940429688,348.6331787109375,150.11705017089844,232.4024658203125,499.94482421875,214.46995544433594
21,21,Gmin7,G,40.0,25.9240665435791,65.52754211425781,265.5936279296875,120.135009765625,213.4185333251953,997.0165405273438,190.390869140625,167.56640625,34.837772369384766,76.02711486816406,117.10572052001953,30.816679000854492
22,22,Gmin7,G,42.0,75.62405395507812,255.6608123779297,1706.8289794921875,317.4872131347656,190.19970703125,1002.8561401367188,415.8228759765625,1697.6279296875,315.6100158691406,196.3959197998047,555.0392456054688,129.9737548828125
23,23,A7,A,44.0,91.52660369873047,412.9802551269531,120.78548431396484,159.1440887451172,848.920654296875,265.57183837890625,71.44770050048828,270.0774230957031,75.8850326538086,318.8111267089844,1728.8123779296875,259.4950256347656
24,24,D7,D,46.0,752.9083862304688,265.2112121582031,424.5854187011719,111.27442169189453,174.54615783691406,268.3013610839844,631.308349609375,386.0802917480469,131.9174041748047,610.2909545898438,2679.577880859375,518.761474609375
25,25,Gmin7,G,48.0,20.08926773071289,73.2431411743164,276.6088562011719,61.5821533203125,191.3722686767578,982.4578247070312,253.8769073486328,660.0929565429688,101.18047332763672,77.980224609375,115.86168670654297,29.043230056762695
26,26,Gmin6,G,50.0,20.471590042114258,74.82720184326172,264.48138427734375,174.35096740722656,853.6431274414062,287.6700744628906,71.73786926269531,162.4991455078125,38.435386657714844,62.79951095581055,119.17471313476562,37.40877914428711
