,Measure,isthereaplaceforus,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,8,Abmin7,Ab,15.0,177.6470489501953,46.00166702270508,55.665836334228516,198.64952087402344,59.6748161315918,89.27800750732422,52.98942947387695,151.06092834472656,45.99197769165039,22.949689865112305,29.4058837890625,40.75308609008789
11,9,Eb7,Eb,16.0,624.2257690429688,1943.7149658203125,1217.8255615234375,3351.4775390625,694.2507934570312,595.4956665039062,1621.1632080078125,1797.2315673828125,630.6473999023438,729.3616333007812,4339.83251953125,1456.185546875
12,10,Bbmin7,Bb,18.0,224.86749267578125,813.6732788085938,174.53529357910156,111.9078369140625,257.884765625,977.1209106445312,208.7161865234375,109.39469146728516,561.24951171875,267.1277770996094,591.247314453125,162.8493194580078
13,10,Eb7,Eb,19.0,214.4384765625,956.1141967773438,379.1863098144531,912.4524536132812,244.04747009277344,310.52099609375,133.6923828125,467.169921875,237.6205291748047,149.72332763671875,578.2093505859375,156.6741180419922
14,11,Ab7,Ab,20.0,1849.8985595703125,752.861083984375,766.3457641601562,3206.4423828125,862.812255859375,864.9765014648438,3703.402099609375,1361.7171630859375,1652.96923828125,362.4842834472656,380.6954650878906,459.7475280761719
15,12,Ebmin7,Eb,22.0,125.88306427001953,636.2291259765625,332.1813659667969,950.6904296875,199.1043243408203,248.86090087890625,1010.3386840820312,203.4813232421875,83.3487777709961,120.67198944091797,590.5650634765625,108.06552124023438
16,12,Ab7,Ab,23.0,24.55388641357422,53.337093353271484,43.12646484375,191.434326171875,39.44522476196289,63.73286819458008,256.6286926269531,48.9403190612793,25.038042068481445,20.22846031188965,52.73062515258789,14.378046989440918
17,13,Dbmaj13,Db,24.0,2156.912353515625,1077.642578125,909.8984985351562,2746.322021484375,1424.4202880859375,2160.838623046875,3276.6357421875,1586.1448974609375,4445.03369140625,1175.2171630859375,2075.76611328125,819.076171875
18,14,Dbmin7,Db,26.0,244.29246520996094,478.7312927246094,131.4508056640625,358.3257751464844,1022.31982421875,283.6438293457031,106.1218490600586,229.0785369873047,1377.990234375,251.55589294433594,122.4660873413086,532.4912719726562
19,14,Gb9,Gb,27.0,103.05654907226562,337.663818359375,75.59668731689453,173.6166534423828,637.0721435546875,233.8873748779297,276.5871887207031,216.6846160888672,1091.8858642578125,262.4963684082031,306.44482421875,106.15826416015625
20,15,B13,B,28.0,718.4275512695312,2110.86669921875,1080.172119140625,2281.877197265625,3195.113037109375,1471.8494873046875,1866.7823486328125,1092.8214111328125,5023.69580078125,2416.1474609375,595.65576171875,761.5437622070312
21,16,Gbmin9,Gb,30.0,212.59751892089844,594.1304321289062,179.74815368652344,332.8430480957031,836.334716796875,415.8763427734375,505.20947265625,313.1990051269531,1537.0526123046875,706.4943237304688,140.23016357421875,77.96688079833984
22,16,Bb7,Bb,31.0,63.16936111450195,122.46334075927734,359.6270751953125,168.4557647705078,440.085693359375,586.129638671875,243.81781005859375,70.4579849243164,225.0643768310547,146.0056915283203,321.5946350097656,127.25027465820312
23,17,Ebmaj9,Eb,32.0,521.921142578125,875.1103515625,1518.4769287109375,1458.5994873046875,1034.6497802734375,3280.456298828125,1263.6220703125,1809.3822021484375,586.0100708007812,1286.3614501953125,5039.58642578125,1929.0194091796875
24,18,G7,G,34.0,129.0238494873047,84.05493927001953,176.82354736328125,127.62635040283203,144.23373413085938,515.6499633789062,226.08091735839844,199.10618591308594,63.02662658691406,51.062808990478516,113.43367767333984,547.8912963867188
25,18,Dmin7,D,34.666666666666664,37.40545654296875,58.863033294677734,270.5285339355469,63.9914665222168,93.89083099365234,174.34605407714844,54.68440628051758,39.578609466552734,30.990036010742188,24.768705368041992,34.854610443115234,128.7598876953125
26,18,G7,G,35.333333333333336,162.83567810058594,66.55428314208984,130.94557189941406,51.34933090209961,73.47161865234375,247.22377014160156,131.2466583251953,572.6870727539062,112.0244369506836,71.88690948486328,20.124197006225586,52.14484786987305
27,19,Cmaj7,C,36.0,2232.800537109375,542.1210327148438,798.8568725585938,1142.37060546875,4000.849609375,2593.8955078125,1237.512939453125,2611.494384765625,652.1362915039062,904.5121459960938,609.5825805664062,2684.390625
28,20,F#min7,F#,38.0,253.12937927246094,598.169921875,180.14276123046875,255.6281280517578,850.3154296875,411.8987121582031,424.8373107910156,113.53836059570312,228.54664611816406,508.0981140136719,201.84381103515625,604.0022583007812
29,20,B7,B,39.0,46.8700065612793,105.51526641845703,29.482017517089844,43.58481216430664,160.74984741210938,58.42513656616211,68.48252868652344,11.794392585754395,8.69719123840332,13.151040077209473,16.33596420288086,63.28239059448242
30,21,Dmin7,D,40.0,2495.278564453125,1206.2178955078125,4585.9755859375,2691.596435546875,1271.20263671875,4072.444580078125,3593.8515625,760.010986328125,896.7575073242188,1162.6138916015625,508.4727478027344,1302.2440185546875
31,22,G13,G,42.0,2523.232177734375,787.20263671875,1200.252197265625,1048.7628173828125,2655.277099609375,3979.849365234375,1704.1461181640625,2057.587158203125,1362.1895751953125,1378.2177734375,689.4257202148438,2447.165283203125
32,23,Gmin7,G,44.0,212.71022033691406,457.4429016113281,1903.25830078125,429.5852355957031,650.7342529296875,2974.268798828125,1122.0477294921875,1719.1009521484375,432.5566101074219,926.7838745117188,2001.2662353515625,416.4750671386719
33,24,C9,C,46.0,1952.2276611328125,1716.6954345703125,9926.611328125,2340.746337890625,3864.3857421875,821.6832885742188,378.5353698730469,1478.4761962890625,542.7841186523438,651.7208862304688,1737.8333740234375,802.3832397460938
34,25,F7,F,48.0,2106.388427734375,555.7682495117188,1219.0333251953125,3404.504638671875,1766.6402587890625,1374.99609375,332.2926330566406,402.447509765625,538.2163696289062,1843.5516357421875,456.1546325683594,482.5965270996094
35,26,Fmin7,F,50.0,633.6682739257812,237.15037536621094,707.6433715820312,762.9010620117188,407.4207763671875,444.3675231933594,108.86894989013672,229.28419494628906,496.708740234375,148.62596130371094,65.62691497802734,159.9971160888672
36,26,Bb7,Bb,51.0,207.0937957763672,188.87635803222656,605.8954467773438,410.0321960449219,293.54754638671875,1002.3272094726562,266.6813049316406,114.08885955810547,485.4119567871094,307.1537780761719,587.9725952148438,149.65269470214844
37,27,Ebmaj7,Eb,52.0,425.3993225097656,678.5879516601562,4358.24267578125,3824.964111328125,803.170654296875,946.7290649414062,443.6962890625,1631.7982177734375,423.9625244140625,641.4912109375,2030.787109375,476.3516845703125
38,28,Ab7,Ab,54.0,1852.2147216796875,506.8917541503906,728.51171875,2523.403564453125,756.90673828125,780.267333984375,3687.702392578125,1213.5726318359375,1611.3729248046875,340.7121887207031,194.11492919921875,384.8208312988281
39,29,Ebmaj7,Eb,56.0,414.0014343261719,630.7554321289062,3917.200927734375,3745.055908203125,683.6928100585938,222.173828125,397.5652770996094,1625.7613525390625,365.076171875,599.3633422851562,1929.1295166015625,457.2773742675781
40,30,D7,D,58.0,2307.907958984375,842.5562133789062,1985.2777099609375,495.8587951660156,267.9100646972656,743.661376953125,3895.652099609375,709.0869750976562,241.50823974609375,1256.5208740234375,291.4380187988281,382.8667297363281
41,31,Dmin7,D,60.0,2220.730224609375,910.47265625,2701.031005859375,603.4717407226562,825.2723999023438,3651.245849609375,945.3361206054688,327.3513488769531,291.8374938964844,1469.1650390625,312.5143127441406,370.5857238769531
42,32,F7,F,62.0,560.991943359375,151.79832458496094,249.74591064453125,1139.8074951171875,568.8543090820312,449.3221435546875,123.381591796875,160.1337127685547,194.8721466064453,542.4134521484375,161.82679748535156,151.8987579345703
43,32,G7,G,63.0,156.4203643798828,71.62699890136719,173.68910217285156,503.4137878417969,207.9122772216797,497.5668640136719,212.4990997314453,252.0342559814453,72.28591918945312,72.1605224609375,81.5497817993164,296.1120910644531
44,33,Cmin7,C,64.0,2119.522216796875,512.8009033203125,991.4697265625,3189.3056640625,1007.6408081054688,575.183837890625,349.6844177246094,1497.1304931640625,306.81085205078125,368.9237365722656,1972.42431640625,937.5148315429688
45,34,Fmin7,F,66.0,612.4113159179688,162.91021728515625,221.925537109375,737.4033203125,381.3094177246094,392.4423828125,102.82157135009766,229.51234436035156,473.3429260253906,118.75751495361328,54.26140213012695,162.9337615966797
46,34,Bb7,Bb,67.0,1188.291015625,992.0148315429688,4073.494873046875,2385.294677734375,1605.4835205078125,6762.64208984375,1518.9962158203125,552.7178344726562,2495.035400390625,1560.6014404296875,3621.5634765625,781.5874633789062
