,Measure,James Bond,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
51,28,B9,B,55.0,180.96771240234375,639.3436279296875,371.8672790527344,1060.1480712890625,385.9217529296875,313.2421875,1152.4439697265625,431.9886169433594,177.99871826171875,461.3337707519531,216.1951141357422,475.7218017578125
52,29,Emin,E,56.0,699.130615234375,212.95359802246094,303.0843505859375,1491.0572509765625,3511.105712890625,711.7922973632812,1048.0789794921875,1641.28564453125,361.688720703125,199.1498565673828,696.77197265625,4432.79296875
53,30,Emin,E,58.0,474.7995300292969,137.66156005859375,175.0249481201172,752.3279418945312,3396.027587890625,649.3509521484375,719.7420043945312,1621.0718994140625,354.7232666015625,135.96522521972656,434.1921081542969,2815.265625
54,31,Emin,E,60.0,358.1263427734375,78.02488708496094,82.96320343017578,295.8302307128906,1000.4241333007812,231.50555419921875,167.06753540039062,461.3382873535156,113.93828582763672,103.15876007080078,337.63104248046875,2171.082275390625
55,31,Cmaj,C,61.0,1205.5650634765625,224.63922119140625,96.60604095458984,253.96820068359375,1070.7239990234375,197.96038818359375,113.06201934814453,498.101318359375,106.43245697021484,37.722660064697266,55.29189682006836,314.2538757324219
56,32,Emin,E,62.0,267.0874328613281,549.5841674804688,137.83477783203125,252.3603515625,953.6627807617188,197.7232666015625,125.97515106201172,556.0001831054688,136.76036071777344,48.54620361328125,100.46822357177734,611.2863159179688
57,32,Cmaj,C,63.0,1210.78955078125,268.7276306152344,108.54610443115234,248.66920471191406,1064.2625732421875,198.41371154785156,105.713134765625,487.26416015625,106.0706558227539,36.57895278930664,51.69160842895508,297.0187683105469
58,33,Emin,E,64.0,190.92010498046875,66.16899871826172,69.23388671875,228.00054931640625,939.0296020507812,182.3188934326172,163.65237426757812,560.3146362304688,120.7993392944336,43.95002365112305,99.9977798461914,601.5618286132812
59,33,Cmaj,C,65.0,305.7048034667969,74.40974426269531,23.35716438293457,140.0868377685547,733.9794921875,142.46005249023438,129.1453094482422,319.635986328125,83.69608306884766,21.35433006286621,35.36393737792969,139.3525848388672
60,34,Emin,E,66.0,139.41769409179688,43.613765716552734,64.50785827636719,206.09832763671875,902.6498413085938,181.2076416015625,158.45602416992188,571.6461791992188,120.8794937133789,41.971370697021484,99.34693145751953,603.8250122070312
61,34,Cmaj,C,67.0,508.6900939941406,120.25275421142578,77.95309448242188,221.77357482910156,1043.0089111328125,197.8582000732422,164.84695434570312,914.021728515625,164.40943908691406,32.95228958129883,40.590606689453125,201.63218688964844
62,35,Emin,E,68.0,62.68776321411133,19.196578979492188,16.004777908325195,88.5931625366211,453.7771911621094,100.95308685302734,66.7437973022461,93.9513931274414,46.51499557495117,14.621848106384277,20.263967514038086,77.0293197631836
63,35,Cmaj,C,69.0,304.4223327636719,69.0016860961914,23.11176872253418,148.0194854736328,758.2991333007812,136.36395263671875,128.0669403076172,335.0599060058594,88.8056411743164,20.730308532714844,31.27671241760254,163.85450744628906
64,36,Emin,E,70.0,135.5280303955078,43.21034622192383,64.31877899169922,206.5945281982422,897.4894409179688,180.6331787109375,158.49957275390625,570.1965942382812,120.98316192626953,42.27488327026367,94.68950653076172,573.6280517578125
65,36,Cmaj,C,71.0,507.7432556152344,120.083984375,77.79910278320312,221.92430114746094,1043.254150390625,197.4982147216797,163.63247680664062,913.3965454101562,164.4102020263672,32.9138069152832,40.29047775268555,198.82958984375
66,37,Emin,E,72.0,156.1584930419922,58.32990646362305,68.63133239746094,225.26292419433594,934.203857421875,187.0936737060547,180.45188903808594,547.2173461914062,120.82592010498047,44.11784744262695,103.01675415039062,607.3534545898438
67,37,Cmaj,C,73.0,519.4165649414062,119.92658233642578,66.94584655761719,220.71710205078125,1037.7982177734375,209.2460174560547,172.74224853515625,506.6961364746094,103.35712432861328,33.07720947265625,43.27397537231445,206.50726318359375
68,38,Emin,E,74.0,155.77166748046875,54.55964279174805,71.15828704833984,214.0468292236328,901.2763671875,177.45831298828125,165.56088256835938,606.2625122070312,126.0528335571289,42.18687057495117,99.24982452392578,609.2067260742188
69,38,Cmaj,C,75.0,517.8878784179688,122.25421142578125,77.49565887451172,218.8290557861328,1031.31298828125,195.9333953857422,164.0342254638672,915.3716430664062,164.8428192138672,32.956111907958984,40.23214340209961,201.0589599609375
70,39,Emin,E,76.0,510.0789489746094,208.8361358642578,513.593017578125,1311.811767578125,3662.672607421875,636.8790893554688,403.2986755371094,1832.158203125,400.251953125,229.8979034423828,368.8860168457031,2081.87109375
71,40,Emin9,E,78.0,637.8367309570312,432.6912536621094,1168.7786865234375,1142.7491455078125,1568.03076171875,931.0745239257812,4509.74951171875,2287.01123046875,581.9976196289062,1224.7476806640625,845.7994995117188,3249.9296875
72,41,Emin,E,80.0,20.928478240966797,18.628122329711914,47.3183708190918,238.1153564453125,1107.5169677734375,199.93951416015625,41.6522216796875,120.6123275756836,49.14591598510742,15.948036193847656,18.858442306518555,73.8797378540039
73,41,G,G,81.0,1600.591796875,948.3058471679688,4452.75244140625,1476.4571533203125,3930.700439453125,1150.21826171875,1989.6380615234375,9436.423828125,1592.517578125,479.4702453613281,1269.8663330078125,7796.98876953125
74,44,Emin7,E,86.0,1371.4742431640625,1518.0286865234375,8510.1337890625,3740.096923828125,13924.10546875,2506.2802734375,2207.424072265625,5821.09423828125,1529.7501220703125,689.7888793945312,1382.3524169921875,7697.34130859375
