,Measure,dat dere,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
36,18,G7,G,35.0,1076.216064453125,149.7810821533203,86.89290618896484,289.02105712890625,105.73434448242188,213.8814239501953,75.64836883544922,172.1063690185547,31.707489013671875,30.18738555908203,82.34259033203125,255.162109375
37,19,Cmin7,C,36.0,4271.25439453125,703.080322265625,246.8896942138672,497.4294128417969,1470.9486083984375,545.7457885742188,290.8829040527344,1159.212890625,463.0399475097656,861.3617553710938,249.63771057128906,788.3612670898438
38,20,Amin7(b5),A,38.0,248.0808868408203,75.8368911743164,114.5909194946289,281.8944091796875,182.4044647216797,59.87825393676758,115.38864135742188,660.6300659179688,281.36737060546875,717.5170288085938,137.1917266845703,79.76655578613281
39,20,Abmaj7,Ab,39.0,121.37425994873047,32.86458969116211,73.24072265625,168.16317749023438,278.4889221191406,86.96456146240234,90.6822738647461,473.0054931640625,116.52694702148438,30.259796142578125,29.8355770111084,41.881839752197266
40,21,Amin7(b5),A,40.0,238.1597442626953,73.86176300048828,125.9598617553711,208.2831573486328,214.68614196777344,432.5977478027344,381.1867370605469,821.5494995117188,174.0465850830078,85.61771392822266,70.06580352783203,75.66695404052734
41,21,D7(#9),D,41.0,180.9603271484375,47.908084869384766,89.47728729248047,270.4170227050781,98.84099578857422,165.76731872558594,138.9309539794922,310.1628723144531,61.71989440917969,25.42194938659668,67.64723205566406,90.2778549194336
42,22,Cmin7,C,42.0,750.9921875,142.5183563232422,123.4068374633789,130.2548828125,99.4957275390625,300.28033447265625,85.0574951171875,118.64767456054688,31.96370506286621,33.9986457824707,92.76248168945312,256.8734130859375
43,22,G7(#5),G,43.0,1015.975830078125,150.34832763671875,76.82376861572266,296.0170593261719,104.11395263671875,143.62925720214844,54.49884033203125,148.7726287841797,31.05860137939453,29.267494201660156,85.7994613647461,201.4551239013672
44,23,Cmin7,C,44.0,4232.04638671875,701.9161987304688,223.39146423339844,495.9825744628906,1464.9300537109375,495.0275573730469,283.12744140625,1159.162841796875,463.8777770996094,856.0397338867188,250.85255432128906,778.0907592773438
45,24,Amin7(b5),A,46.0,542.9956665039062,106.3493881225586,91.00186157226562,320.17364501953125,129.64942932128906,184.9076690673828,62.8385009765625,106.4420166015625,44.17756271362305,60.77817916870117,36.18275451660156,122.93277740478516
46,24,Abmaj7,Ab,47.0,157.64576721191406,63.447750091552734,159.91770935058594,81.5764389038086,92.35074615478516,332.37884521484375,90.6497573852539,40.754024505615234,26.959320068359375,179.40000915527344,691.0885620117188,165.11175537109375
47,25,Dmin7,D,48.0,465.9646301269531,122.765869140625,139.93038940429688,116.6899185180664,118.90213012695312,326.8670959472656,163.95252990722656,443.7634582519531,86.18338775634766,77.76447296142578,335.7436828613281,292.6546936035156
48,25,G7,G,49.0,153.16676330566406,42.54867935180664,93.27072143554688,293.9311218261719,102.52389526367188,125.3814468383789,73.64022064208984,154.8723907470703,30.725873947143555,27.628267288208008,73.43279266357422,86.3228530883789
49,26,Cmin7,C,50.0,65.78557586669922,23.473176956176758,79.72016143798828,65.33379364013672,58.17483139038086,290.6843566894531,56.75491714477539,61.41313171386719,12.365139961242676,15.368102073669434,33.113502502441406,134.9143829345703
50,26,G7,G,51.0,205.06947326660156,117.98705291748047,481.6351318359375,409.3292541503906,194.6919403076172,733.51171875,150.78871154785156,78.40213775634766,22.234376907348633,62.27308654785156,150.8983154296875,400.5142517089844
51,29,Cmin7,C,56.0,1543.2158203125,347.4795227050781,236.16404724121094,995.0394897460938,1482.4952392578125,274.0460510253906,184.858642578125,1017.4849243164062,433.1173095703125,839.3858032226562,280.0554504394531,378.3047790527344
52,30,Amin7,A,58.0,199.27003479003906,49.60578536987305,62.938358306884766,317.9865417480469,158.7653045654297,21.89556121826172,15.157212257385254,71.44832611083984,56.123077392578125,44.18992233276367,23.462059020996094,52.7225341796875
53,30,Abmaj,Ab,59.0,242.59861755371094,62.58444595336914,118.20989227294922,133.80613708496094,257.4750061035156,80.87319946289062,248.59800720214844,1197.652587890625,208.86766052246094,57.22208023071289,22.699514389038086,61.912899017333984
54,31,Amin7,A,60.0,136.10873413085938,62.95845413208008,150.16395568847656,56.33640670776367,85.97653198242188,124.3385238647461,190.7095184326172,52.38121032714844,23.537757873535156,95.6925048828125,26.797006607055664,31.102750778198242
55,31,D7,D,61.0,146.4250030517578,60.5736083984375,152.28465270996094,77.74117279052734,93.12799835205078,349.1109924316406,98.99578857421875,37.03058624267578,22.91375160217285,93.51050567626953,34.26216125488281,68.5575942993164
56,32,Dmin7(b5),D,62.0,96.73635864257812,53.48006820678711,139.80453491210938,232.88938903808594,119.07479095458984,335.95587158203125,83.8809585571289,129.0584716796875,31.820327758789062,20.38863182067871,77.8467788696289,154.8652801513672
57,32,G7,G,63.0,162.06092834472656,40.23867416381836,131.6707305908203,293.26629638671875,87.4560546875,71.12898254394531,183.77943420410156,1194.9613037109375,193.46009826660156,24.160139083862305,66.58714294433594,69.93880462646484
58,33,Cmin7,C,64.0,1361.5155029296875,302.45062255859375,191.818115234375,490.9883728027344,1437.1343994140625,359.5287170410156,188.3171844482422,885.180419921875,415.4172058105469,810.7455444335938,221.5740203857422,370.1573486328125
59,34,Amin7,A,66.0,216.27061462402344,66.90850067138672,111.8899917602539,426.5417785644531,144.65855407714844,122.51427459716797,130.77622985839844,167.78736877441406,65.9773941040039,52.07826232910156,37.77896499633789,51.98358154296875
60,34,Abmaj7,Ab,67.0,89.3520736694336,56.656314849853516,166.92872619628906,91.37532806396484,38.08509826660156,60.98879623413086,254.5684814453125,584.2869262695312,178.77734375,108.73037719726562,101.76392364501953,33.435001373291016
61,35,D7,D,68.0,882.2299194335938,175.4012908935547,135.3998565673828,148.0904541015625,161.5891571044922,435.0267028808594,251.65496826171875,504.6912841796875,119.33453369140625,125.60663604736328,332.0062255859375,338.4222717285156
62,35,G7,G,69.0,202.3655242919922,40.69746780395508,75.93794250488281,285.1153259277344,152.4047088623047,156.24220275878906,41.325645446777344,32.490074157714844,17.120649337768555,39.07295227050781,22.663881301879883,60.9218864440918
63,36,F7,F,70.0,1126.1346435546875,338.1608581542969,592.4310302734375,488.0035095214844,431.5982360839844,1877.3216552734375,821.299072265625,1829.6009521484375,332.1990661621094,153.26730346679688,242.64263916015625,1016.448974609375
64,37,G7,G,72.0,1651.1280517578125,528.6151123046875,958.8861694335938,323.4463195800781,295.41424560546875,934.057373046875,1928.3682861328125,576.5856323242188,199.5543670654297,669.7747802734375,214.088134765625,414.74560546875
65,38,D7,D,74.0,121.87743377685547,24.777379989624023,65.466064453125,135.3292236328125,49.69527816772461,49.42416000366211,97.64157104492188,578.3775024414062,93.98165130615234,11.9028902053833,27.486719131469727,47.34560775756836
66,38,G7,G,74.66666666666667,105.77002716064453,42.930904388427734,84.17094421386719,111.33377838134766,216.8602294921875,59.65345764160156,29.738622665405273,107.44640350341797,67.8342056274414,101.00939178466797,26.5777587890625,47.24021911621094
67,38,Cmin7,C,75.33333333333333,324.2881164550781,97.7669677734375,140.73167419433594,78.6021957397461,132.99893188476562,226.5756378173828,321.7131652832031,159.4415740966797,67.70117950439453,207.4995880126953,662.7978515625,180.7003936767578
68,39,Amin7,A,76.0,111.2914810180664,34.951881408691406,79.3836441040039,43.6868896484375,78.86258697509766,209.3484649658203,165.57530212402344,459.7842712402344,330.0614013671875,90.80844116210938,89.71747589111328,50.4825439453125
69,39,D7,D,76.66666666666667,195.8384552001953,50.53719711303711,55.91389846801758,53.56123733520508,205.405517578125,101.56371307373047,38.43095779418945,98.84461212158203,65.88516235351562,96.95160675048828,23.951440811157227,55.298004150390625
70,39,Gmin7,G,77.33333333333333,24.309358596801758,8.724224090576172,15.052088737487793,33.69171142578125,90.7866439819336,62.68752670288086,17.063966751098633,18.666303634643555,8.949200630187988,6.305430889129639,5.351864337921143,10.53747272491455
71,40,Amin7(b5),A,78.0,997.592041015625,401.9208984375,926.553955078125,857.7685546875,661.8922729492188,1815.5672607421875,462.0792236328125,403.9026184082031,1586.9788818359375,809.879150390625,164.8206024169922,203.1078643798828
72,41,Dmin7,D,80.0,340.75140380859375,111.69857788085938,200.51324462890625,141.1725616455078,206.85894775390625,775.6393432617188,319.6779479980469,363.2262268066406,105.25003051757812,96.6070785522461,97.97144317626953,403.9831848144531
73,41,G7,G,81.0,902.49072265625,247.5787353515625,394.5906677246094,1062.6964111328125,429.0400695800781,736.6260375976562,372.91650390625,527.5574340820312,134.9566192626953,252.0463104248047,624.718017578125,493.0353698730469
74,42,D7,D,82.0,39.954769134521484,16.1055908203125,63.479557037353516,118.3694076538086,28.417877197265625,48.18515396118164,94.953125,557.7239379882812,92.50686645507812,10.563755989074707,26.74812889099121,33.34931564331055
75,42,G7,G,82.66666666666667,269.2290954589844,109.59061431884766,200.16619873046875,140.13381958007812,269.1202697753906,111.5135498046875,223.71253967285156,155.65342712402344,92.69161224365234,181.30999755859375,52.21274948120117,77.77973175048828
76,42,Cmin7,C,83.33333333333333,243.7353973388672,82.03062438964844,147.29356384277344,55.98040771484375,122.6462173461914,418.3778381347656,282.8244323730469,242.36944580078125,128.26014709472656,254.8863983154297,742.7685546875,192.2609100341797
77,43,Amin7,A,84.0,180.2241668701172,39.528812408447266,47.15377426147461,59.90384292602539,62.51615524291992,183.60960388183594,68.9741439819336,61.055171966552734,15.827338218688965,30.32329559326172,31.009933471679688,53.05991744995117
78,43,D7,D,84.66666666666667,189.63795471191406,62.87349319458008,125.7846450805664,84.71569061279297,39.88469696044922,72.7236557006836,228.2339630126953,267.4441223144531,55.24924087524414,57.95432662963867,21.947153091430664,33.72517776489258
79,43,Gmin7,G,85.33333333333333,102.23035430908203,59.74090576171875,172.8796844482422,117.96991729736328,109.00942993164062,500.4613342285156,342.5049743652344,399.618896484375,128.94454956054688,84.2705307006836,78.49600982666016,232.3721466064453
80,44,D7,D,86.0,469.7837829589844,103.71800994873047,131.4202880859375,112.6649398803711,106.52880859375,314.26861572265625,117.81673431396484,248.3990936279297,75.86553192138672,113.63793182373047,382.3406982421875,250.01515197753906
81,44,G7,G,87.0,397.1895751953125,68.7345962524414,68.81580352783203,281.5268249511719,139.92710876464844,144.0700225830078,53.673614501953125,96.1692886352539,23.65763282775879,41.383052825927734,36.0820198059082,86.1044692993164
82,45,F7,F,88.0,5540.658203125,842.5222778320312,206.31495666503906,377.6829528808594,217.5682830810547,365.2853088378906,178.32411193847656,201.59971618652344,55.0322380065918,68.7596664428711,144.40335083007812,856.0206909179688
