,Measure,Recordame,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
28,34,Cmin7,C,66.0,8292.5009765625,1940.0791015625,3652.832763671875,16723.330078125,5149.22607421875,1093.9989013671875,1463.9166259765625,8569.3447265625,4253.96826171875,20731.958984375,11466.828125,3261.624755859375
29,37,F7,F,72.0,1.482618808746338,0.7228832840919495,4.847207069396973,10.939669609069824,2.4625444412231445,0.22311951220035553,0.41366076469421387,1.534419059753418,0.43154406547546387,2.0310165882110596,3.731863260269165,0.7961269021034241
30,38,Bbmaj7,Bb,74.0,817.238037109375,610.7681274414062,2260.854736328125,1721.9384765625,1288.9573974609375,3044.519287109375,721.711669921875,219.66270446777344,426.3124694824219,2221.789306640625,2137.336181640625,466.9442443847656
31,39,Bbmin7,Bb,76.0,183.253173828125,507.8202209472656,146.5873260498047,110.8031234741211,209.55482482910156,878.6216430664062,173.2786102294922,89.70738983154297,448.67333984375,251.46282958984375,578.2542114257812,137.60560607910156
32,39,Eb7,Eb,77.0,126.77375030517578,555.77978515625,356.3503723144531,932.8361206054688,237.9866485595703,282.86962890625,121.4451904296875,451.8416442871094,138.9117431640625,128.43605041503906,574.4884643554688,144.49195861816406
33,40,Abmaj7,Ab,78.0,1747.97314453125,675.0862426757812,764.3723754882812,2822.231689453125,904.5238647460938,282.9918518066406,370.0826110839844,1975.9068603515625,1745.9088134765625,357.5437927246094,294.8003234863281,541.6807861328125
34,41,Abmin7,Ab,80.0,127.5487060546875,79.7884292602539,199.4300537109375,793.21728515625,152.55445861816406,221.8468780517578,1106.6834716796875,352.5690002441406,495.9231872558594,129.2261199951172,166.20309448242188,504.4132995605469
35,41,Db7,Db,81.0,310.6595458984375,507.828369140625,163.502197265625,334.9841613769531,271.4393005371094,1129.565673828125,340.6592712402344,103.9606704711914,397.8117370605469,97.86691284179688,177.31951904296875,935.6862182617188
36,42,Gbmaj7,Gb,82.0,605.6752319335938,1921.48291015625,374.90771484375,238.3247528076172,694.6865844726562,3368.253173828125,1961.2501220703125,340.8785400390625,283.45172119140625,578.4824829101562,2074.64599609375,705.4765625
37,43,Gmin7,G,84.0,59.34071731567383,108.7198486328125,324.6667175292969,112.39910125732422,197.61993408203125,840.8143920898438,396.7330627441406,477.0768737792969,140.91453552246094,249.83262634277344,548.7816162109375,126.4455337524414
38,43,C7,C,85.0,514.1465454101562,146.73768615722656,167.3267059326172,314.2312927246094,1149.0552978515625,406.75390625,124.00418090820312,462.10791015625,128.3502960205078,121.84393310546875,531.036865234375,250.3164825439453
39,44,Fmaj7,F,86.0,583.6298217773438,130.49729919433594,69.3633041381836,208.40032958984375,975.9479370117188,579.9057006835938,151.12599182128906,160.73678588867188,219.3267059326172,545.65478515625,166.77442932128906,187.7174835205078
40,44,E7(#9),E,87.0,2806.715087890625,2013.4200439453125,8198.595703125,5896.89111328125,9578.8544921875,3511.606201171875,2765.3115234375,6760.27099609375,6263.00927734375,2044.6800537109375,1992.52294921875,8624.6259765625
