,Measure,I Wish,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
22,20,Fmin7,F,38.0,191.7283172607422,560.419921875,357.5596618652344,1103.2034912109375,205.390869140625,261.6154479980469,1151.670654296875,232.0764617919922,58.80356979370117,109.42578125,576.6802368164062,114.33688354492188
23,20,Bb7,Bb,39.0,528.5781860351562,208.68028259277344,228.7199249267578,824.9801635742188,243.1396942138672,253.06988525390625,1198.1866455078125,415.9750061035156,477.2980651855469,111.6070327758789,92.97183990478516,135.57522583007812
24,21,Ebmin7,Eb,40.0,194.63706970214844,200.85357666015625,661.6461791992188,441.2189025878906,293.3168640136719,975.4662475585938,388.9482116699219,128.95985412597656,492.7170104980469,333.31158447265625,553.4635620117188,139.58837890625
25,21,Ab7,Ab,41.0,25.37418556213379,19.31505012512207,69.5062026977539,40.682674407958984,42.36682891845703,228.07073974609375,76.55689239501953,215.32691955566406,82.28467559814453,18.664451599121094,14.30290699005127,14.463360786437988
26,22,Ebmin7,Eb,42.0,279.91754150390625,225.26551818847656,584.1060791015625,194.75477600097656,423.4179992675781,872.7290649414062,281.7149963378906,275.588623046875,746.4078979492188,394.6938781738281,776.0097045898438,187.5738983154297
27,22,Ab7,Ab,43.0,548.37646484375,154.33680725097656,227.88194274902344,552.0875854492188,1167.0526123046875,394.0060729980469,130.11483764648438,483.4090270996094,150.1701202392578,122.72296905517578,542.7626342773438,269.9028015136719
28,23,Ebmin7,Eb,44.0,621.8051147460938,152.6841278076172,189.5897674560547,844.5402221679688,634.4053344726562,711.383056640625,168.85043334960938,248.72654724121094,486.0545654296875,169.55416870117188,110.32726287841797,163.65731811523438
29,23,Ab7,Ab,45.0,131.15489196777344,38.763031005859375,77.59587860107422,277.341552734375,80.0372543334961,112.2940673828125,131.25369262695312,283.6448059082031,110.0840072631836,28.331520080566406,25.791147232055664,67.3006362915039
30,24,Ebmin7,Eb,46.0,674.2003173828125,178.7309112548828,203.53700256347656,781.1941528320312,415.8023376464844,418.3935241699219,316.62347412109375,289.0552673339844,726.0919799804688,198.3406982421875,115.04922485351562,306.0082092285156
31,24,Ab7,Ab,47.0,130.94541931152344,43.60531997680664,88.28376007080078,232.8905792236328,78.28731536865234,126.4969253540039,53.129581451416016,32.176334381103516,79.17279815673828,68.32857513427734,248.9171142578125,111.1172866821289
32,25,Ebmin7,Eb,48.0,122.1080551147461,573.4385375976562,486.5196228027344,995.2260131835938,233.78948974609375,472.1358642578125,1086.6243896484375,216.59576416015625,113.04735565185547,157.20884704589844,744.6610717773438,155.98399353027344
33,25,Ab7,Ab,49.0,528.198974609375,226.63023376464844,258.0628662109375,832.0514526367188,264.77508544921875,288.2374572753906,1206.0899658203125,446.6925048828125,693.9528198242188,172.61212158203125,98.62533569335938,144.62008666992188
34,26,Ebmin7,Eb,50.0,194.2468719482422,557.53125,366.50830078125,1108.8309326171875,214.21185302734375,309.0069885253906,1163.4127197265625,231.5630645751953,62.45719528198242,131.5572052001953,735.0328979492188,164.4801788330078
35,26,Ab7,Ab,51.0,528.00927734375,210.3648681640625,243.3604278564453,857.7297973632812,255.17506408691406,271.6707458496094,1197.3123779296875,420.1206359863281,519.965576171875,121.82199096679688,96.8256607055664,139.7289276123047
36,27,Ebmin7,Eb,52.0,195.1571502685547,556.3204956054688,363.6736145019531,1110.1854248046875,209.8509979248047,274.4627990722656,1167.2454833984375,236.405029296875,63.0787239074707,133.1013946533203,749.911376953125,162.0154266357422
37,27,Ab7,Ab,53.0,528.0755004882812,214.66468811035156,240.3682403564453,839.42919921875,255.1589813232422,249.0706329345703,1194.0740966796875,441.688720703125,685.6705932617188,171.3185577392578,101.94084930419922,136.57179260253906
38,28,Ebmin7,Eb,54.0,192.53395080566406,554.8823852539062,363.69677734375,1105.6644287109375,208.82012939453125,285.39892578125,1161.9896240234375,232.51698303222656,62.59983444213867,134.08924865722656,750.4977416992188,161.5166473388672
39,28,Ab7,Ab,55.0,529.1092529296875,208.7687225341797,230.77870178222656,854.949951171875,250.82518005371094,253.10154724121094,1197.577880859375,425.5636901855469,513.052734375,119.44269561767578,97.54932403564453,139.9592742919922
40,29,Bb7,Bb,56.0,195.49290466308594,558.1719360351562,370.5653991699219,1110.5267333984375,208.9789276123047,274.8001403808594,1166.794189453125,235.46128845214844,62.50303268432617,132.4152374267578,744.1885375976562,161.66815185546875
41,29,C7,C,57.0,529.868896484375,213.8013916015625,237.02647399902344,837.9398803710938,254.39149475097656,246.9358367919922,1191.7281494140625,438.6632995605469,685.458740234375,171.1544189453125,102.3738784790039,137.74684143066406
42,30,Bb7,Bb,58.0,194.7233428955078,555.45703125,364.7283630371094,1106.87255859375,208.09642028808594,278.77099609375,1164.4676513671875,234.21861267089844,63.33091354370117,133.46914672851562,748.1600952148438,161.18148803710938
43,30,C7,C,59.0,450.2503662109375,123.0064926147461,138.67970275878906,662.6810913085938,212.39732360839844,206.03028869628906,929.228759765625,304.0506286621094,432.3638610839844,108.52252960205078,54.76939010620117,89.09466552734375
44,31,Fmin7,F,60.0,174.7936248779297,565.0363159179688,310.5294189453125,893.1090698242188,181.95391845703125,294.1980895996094,1226.6981201171875,232.43556213378906,56.51947021484375,130.57437133789062,744.933837890625,157.75465393066406
45,31,Abmin7,Ab,61.0,519.5713500976562,211.50823974609375,233.90382385253906,822.9179077148438,247.21063232421875,248.82347106933594,1195.3905029296875,440.3316955566406,685.495849609375,171.12408447265625,102.5994873046875,135.81906127929688
46,32,Fmin7,F,62.0,194.6579132080078,555.5646362304688,364.9244689941406,1108.298828125,208.0653839111328,275.8546142578125,1165.753173828125,234.64337158203125,64.34162139892578,133.6942596435547,745.8810424804688,160.8154754638672
47,32,Bb7,Bb,63.0,21.9309024810791,38.12422180175781,50.519287109375,299.7912292480469,58.98448181152344,27.8963680267334,171.90692138671875,50.15699768066406,9.673210144042969,6.930498123168945,44.2032585144043,16.126041412353516
48,33,Ebmin7,Eb,64.0,7.366908550262451,6.743936061859131,16.38016700744629,78.7248764038086,15.135939598083496,2.764777183532715,12.35666275024414,5.007230281829834,1.2042676210403442,1.0405439138412476,5.952073574066162,2.7643868923187256
49,33,Ab7,Ab,65.0,6.527288913726807,3.8399345874786377,11.491783142089844,70.013671875,17.4627628326416,32.9959602355957,15.198267936706543,4.470451354980469,1.5798004865646362,5.734773635864258,6.362328052520752,2.4397828578948975
50,34,Ebmin7,Eb,66.0,6.896743297576904,12.04207706451416,34.32710647583008,217.3992156982422,52.15852355957031,41.46354293823242,19.17287254333496,35.02736282348633,10.863177299499512,7.308689117431641,15.841635704040527,7.537898540496826
51,34,Ab7,Ab,67.0,8.681744575500488,13.332710266113281,6.997272491455078,12.737308502197266,26.79978370666504,150.54476928710938,206.707763671875,40.751609802246094,3.73066782951355,22.255666732788086,32.695289611816406,9.359489440917969
52,35,Ebmin7,Eb,68.0,0.9801444411277771,0.28393322229385376,0.7034110426902771,3.8038322925567627,0.8635221123695374,0.6502041220664978,1.9813131093978882,0.4629761278629303,0.08833572268486023,0.19212301075458527,1.2214603424072266,0.37242379784584045
53,35,Ab7,Ab,69.0,2.593395948410034,2.2547433376312256,9.125407218933105,57.25740432739258,14.895469665527344,31.624788284301758,9.017043113708496,3.1798267364501953,1.443259358406067,5.2868170738220215,3.857950210571289,1.300675392150879
54,36,Ebmin7,Eb,70.0,3.419006109237671,10.6417818069458,5.470590114593506,4.232884883880615,13.385421752929688,67.3065414428711,195.62083435058594,40.50448226928711,2.1595618724823,7.926341533660889,28.04706573486328,8.429190635681152
55,36,Ab7,Ab,71.0,0.555697500705719,1.150286316871643,7.838162899017334,50.058536529541016,9.737180709838867,2.2589478492736816,1.2125816345214844,2.5182290077209473,0.8484828472137451,0.3403068780899048,2.0240721702575684,0.912621796131134
56,37,Ebmin7,Eb,72.0,99.46831512451172,548.0816040039062,315.0546569824219,904.460205078125,175.961669921875,239.63409423828125,1040.173095703125,200.3042449951172,49.761112213134766,103.47924041748047,564.1021728515625,101.21378326416016
57,37,Ab7,Ab,73.0,518.4580688476562,206.1645050048828,226.6840362548828,818.6765747070312,243.1233673095703,253.63677978515625,1197.805419921875,417.4320068359375,478.0658874511719,111.57170867919922,92.24149322509766,133.02748107910156
58,38,Ebmin7,Eb,74.0,89.08690643310547,23.069997787475586,35.15679931640625,190.5667266845703,28.989389419555664,19.411962509155273,118.69129180908203,23.58214569091797,7.162173748016357,2.499582529067993,8.626447677612305,19.449453353881836
59,38,Ab7,Ab,75.0,16.834396362304688,4.740044116973877,7.586872577667236,23.292701721191406,5.360345840454102,2.170231580734253,11.873187065124512,4.2691240310668945,1.3615821599960327,1.2770425081253052,3.471189260482788,3.704578161239624
60,39,Ebmin7,Eb,76.0,6.144807815551758,1.3583110570907593,2.787419080734253,16.274398803710938,3.27481746673584,1.4979891777038574,7.035663604736328,1.6025511026382446,0.3431861102581024,0.4012579023838043,1.8378852605819702,1.3859659433364868
61,39,Ab7,Ab,77.0,3.68615460395813,0.7972632050514221,2.027987003326416,7.902769088745117,2.073620557785034,1.2303904294967651,5.382894039154053,0.7705954909324646,0.14753295481204987,0.31137606501579285,1.8224283456802368,0.9308931231498718
62,40,Ebmin7,Eb,78.0,164.42747497558594,29.036705017089844,49.20361328125,292.2560729980469,54.118526458740234,35.57194900512695,212.5459442138672,35.412567138671875,6.973970413208008,6.967038631439209,38.47459030151367,31.630281448364258
63,45,Ebmin7,Eb,88.0,78.44561004638672,147.78860473632812,603.1553344726562,162.6905059814453,213.2845458984375,844.4030151367188,242.35279846191406,102.26952362060547,480.1877746582031,301.587646484375,565.106201171875,121.0425796508789
64,45,Ab7,Ab,89.0,61325.98046875,15262.5263671875,28030.935546875,76443.4296875,87065.578125,62570.03515625,44470.5625,39576.35546875,40418.66796875,14672.9287109375,39464.890625,33290.15234375
65,53,Bb7,Bb,104.0,1.1109086275100708,0.3304413855075836,0.5654111504554749,1.7570439577102661,0.782289981842041,0.9175568222999573,1.2502775192260742,0.3616989552974701,0.18983300030231476,0.13433338701725006,0.34363770484924316,0.2558768093585968
66,53,C7,C,105.0,0.6917040944099426,0.171742781996727,0.34268859028816223,0.8150200247764587,0.2875111997127533,0.5772456526756287,0.8392972350120544,0.12839201092720032,0.03178441897034645,0.030129320919513702,0.10188445448875427,0.14140194654464722
67,54,Fmin7,F,106.0,0.388814240694046,0.07566390931606293,0.16736041009426117,0.531070351600647,0.19742141664028168,0.2854989469051361,0.5122383832931519,0.11338325589895248,0.02369750291109085,0.018771588802337646,0.03764650225639343,0.07477686554193497
68,54,Abmin7,Ab,107.0,0.20465825498104095,0.049039918929338455,0.1312655359506607,0.2700066864490509,0.11596536636352539,0.19539706408977509,0.2365613579750061,0.059011515229940414,0.025887733325362206,0.01512728352099657,0.03201155737042427,0.05749094858765602
69,55,Bb7,Bb,108.0,0.08771093934774399,0.024364054203033447,0.05920795723795891,0.1813116818666458,0.09858458489179611,0.11983253806829453,0.1423180252313614,0.0266652200371027,0.010718446224927902,0.006163189187645912,0.014490566216409206,0.022586064413189888
70,55,C7,C,109.0,0.04139208421111107,0.015958769246935844,0.04296138882637024,0.10335934907197952,0.041446488350629807,0.07090367376804352,0.08387025445699692,0.01841118559241295,0.007786611560732126,0.0047009908594191074,0.009361050091683865,0.010048752650618553
71,56,Fmin7,F,110.0,0.02329973317682743,0.007647255435585976,0.02007731795310974,0.0688517615199089,0.02786557376384735,0.03682598099112511,0.03760511800646782,0.007639096584171057,0.0029780948534607887,0.0021974281407892704,0.005609525367617607,0.005292525049299002
72,56,Bb7,Bb,111.0,0.015302968211472034,0.004265587776899338,0.014492876827716827,0.04090925678610802,0.015497180633246899,0.027754828333854675,0.023331834003329277,0.004618046339601278,0.001576218637637794,0.001282438519410789,0.0037294449284672737,0.003490239381790161
73,57,Ebmin7,Eb,112.0,1.6249314546585083,9.540485382080078,4.8946757316589355,1.4924345016479492,7.32402229309082,27.118783950805664,187.84129333496094,40.2010612487793,1.4306182861328125,2.807546377182007,26.359724044799805,7.9363694190979
74,57,Ab7,Ab,113.0,5485.09423828125,8880.7177734375,2337.1318359375,5700.26708984375,2022.4345703125,2509.181396484375,829.6491088867188,2507.311279296875,3791.600830078125,6347.2265625,39218.05859375,6435.34619140625
