,Measure,Clouds,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
26,31,Cmin7,C,60.0,1602.2384033203125,566.057861328125,1878.30029296875,3181.373291015625,1584.3497314453125,3248.861083984375,738.2788696289062,1103.0677490234375,394.9163513183594,791.578125,1509.8477783203125,621.8807983398438
27,32,G7,G,62.0,340.35076904296875,242.39231872558594,704.7639770507812,551.3351440429688,569.7017211914062,2368.894775390625,866.9694213867188,1083.80078125,225.48065185546875,200.60340881347656,282.244140625,1186.318115234375
28,33,Cmin7,C,64.0,12794.1884765625,3080.375732421875,7992.08447265625,9080.4716796875,2581.534912109375,928.1011352539062,849.5549926757812,3799.594482421875,849.0586547851562,1182.4271240234375,5401.52734375,3217.0810546875
29,35,Cmin7,C,68.0,1047.45654296875,306.4534912109375,543.3067016601562,2001.7298583984375,665.577392578125,403.9869384765625,244.20741271972656,958.2744140625,223.86073303222656,338.7295837402344,1241.73828125,505.701171875
30,36,G7,G,70.0,330.4427185058594,242.9065399169922,728.1610717773438,560.1715087890625,519.7413330078125,2310.338134765625,862.9024047851562,1081.2188720703125,222.76812744140625,186.7357177734375,279.9669494628906,1184.7672119140625
31,37,Cmin7,C,72.0,4354.11865234375,2493.807861328125,3743.7705078125,7997.853515625,2431.548095703125,956.7822875976562,821.8115844726562,3774.994384765625,778.10107421875,929.34375,4675.1103515625,2025.2808837890625
32,39,Cmin7,C,76.0,4228.8662109375,1220.5098876953125,1983.22998046875,7862.32421875,2558.568115234375,2225.987060546875,10481.4306640625,8382.9541015625,2860.927978515625,1174.67919921875,4808.43994140625,2021.7225341796875
33,41,Abmaj7,Ab,80.0,12387.6884765625,2230.767822265625,1781.6123046875,7925.45068359375,2258.626220703125,589.6951293945312,1005.0180053710938,4759.92138671875,4326.67919921875,816.4894409179688,816.35205078125,3715.710693359375
34,43,Amin7,A,84.0,2142.921875,435.2624206542969,218.8038330078125,830.8662719726562,1994.69482421875,376.5052795410156,224.625732421875,1024.640380859375,478.8796081542969,1119.0574951171875,323.6668395996094,658.3126220703125
35,44,F7,F,86.0,1313.1300048828125,365.1260681152344,762.5217895507812,2187.717041015625,1278.4820556640625,869.30078125,214.1413116455078,271.6135559082031,346.8157043457031,1108.01123046875,285.2306823730469,304.4615783691406
36,45,Bbmaj7,Bb,88.0,2121.26318359375,1465.1907958984375,4897.48291015625,1539.8179931640625,2650.868896484375,12027.0439453125,2237.41552734375,600.2540893554688,806.2609252929688,4182.70751953125,5089.310546875,1521.38134765625
37,47,D7,D,92.0,1338.4273681640625,620.887451171875,1274.2586669921875,328.7525939941406,242.21319580078125,698.638916015625,2391.738525390625,451.1780090332031,257.8369445800781,1027.3763427734375,272.3601989746094,238.0177459716797
38,48,Gmin7,G,94.0,496.3309631347656,284.6224670410156,751.885498046875,228.6047821044922,435.5393371582031,1956.8831787109375,850.9821166992188,1666.8251953125,402.5894775390625,754.16552734375,3338.369384765625,620.4197387695312
39,49,C7,C,96.0,298.2272644042969,77.27881622314453,54.47101974487305,84.18512725830078,302.6117248535156,97.02112579345703,43.209110260009766,137.32374572753906,39.62690353393555,34.41028594970703,133.35647583007812,102.02701568603516
40,49,F7,F,97.0,299.97784423828125,107.9464111328125,114.31523895263672,347.533447265625,514.8145141601562,223.81787109375,82.34716033935547,200.31028747558594,138.8828887939453,648.2185668945312,1430.1094970703125,271.2425231933594
41,50,Abmaj7,Ab,98.0,195.58546447753906,75.06824493408203,118.61243438720703,390.12158203125,173.7672119140625,192.3812713623047,69.55758666992188,166.5492706298828,139.7543182373047,69.60710144042969,34.9522590637207,77.07935333251953
42,50,G7,G,99.0,75.82775115966797,19.274229049682617,42.82118225097656,236.9755401611328,99.2281265258789,41.59959030151367,32.14602279663086,102.71666717529297,34.78557205200195,8.15262508392334,9.225704193115234,22.78551483154297
43,51,Cmin7,C,100.0,1248.0477294921875,425.9822082519531,879.8267211914062,2283.340576171875,1031.24658203125,2005.3604736328125,922.7515258789062,1271.0462646484375,315.6070251464844,363.7099914550781,1407.015625,1170.7015380859375
44,52,F7,F,102.0,7640.03759765625,1816.62890625,2901.34765625,13747.0341796875,6695.72314453125,6395.54296875,1222.7452392578125,1574.4658203125,2008.0615234375,8412.6806640625,1997.150390625,1825.4677734375
