,Measure,Watermelon Man2,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,8,B13,B,15.0,787.5050659179688,299.03973388671875,169.67945861816406,261.2947998046875,270.5352478027344,266.5368957519531,160.94288635253906,310.28875732421875,1040.4022216796875,298.5766906738281,72.37303924560547,143.7641143798828
11,9,Bb9,Bb,16.0,566.880859375,470.9711608886719,439.4532470703125,568.1864624023438,588.7767333984375,594.8939208984375,387.8975524902344,452.4608459472656,443.2403259277344,430.2724304199219,216.73175048828125,261.2038269042969
12,9,Bb13,Bb,16.666666666666668,249.7681884765625,143.7127685546875,164.34349060058594,299.2773132324219,420.8023376464844,345.2222900390625,134.9777374267578,121.4642105102539,106.66504669189453,142.97987365722656,201.70542907714844,150.1588592529297
13,9,B13,B,17.333333333333332,148.89761352539062,55.06723403930664,67.88209533691406,188.4219207763672,130.5518341064453,134.69935607910156,117.80997467041016,268.097412109375,80.27342224121094,47.90406799316406,112.22846221923828,184.21697998046875
14,10,C13,C,18.0,540.2582397460938,769.6098022460938,737.7230834960938,1176.0943603515625,1248.52734375,976.6681518554688,723.4276733398438,520.166015625,888.7528686523438,1021.53564453125,1634.9263916015625,585.55078125
15,10,B13,B,19.0,157.21661376953125,142.86537170410156,140.370361328125,457.7091369628906,310.532958984375,291.1209411621094,156.4839324951172,106.21607208251953,77.93212890625,64.31940460205078,93.42560577392578,218.85508728027344
16,11,Bb13,Bb,20.0,1449.7568359375,547.7833251953125,908.944091796875,3393.718994140625,4039.738037109375,3692.041015625,3553.647216796875,1631.3297119140625,4604.6044921875,3080.049560546875,6554.0546875,2147.9755859375
17,12,Ab9,Ab,22.0,282.5198669433594,210.67103576660156,277.9464111328125,428.2373352050781,416.0602111816406,309.4476013183594,696.6174926757812,725.2246704101562,810.7007446289062,308.8800964355469,702.8440551757812,211.9391632080078
18,12,Gb9,Gb,23.0,325.5415954589844,380.6105041503906,220.7687225341797,585.5097045898438,594.6690063476562,538.1015014648438,923.3427124023438,678.7702026367188,1573.8572998046875,497.3923034667969,640.3692626953125,190.8155059814453
19,13,Ab9,Ab,24.0,257.3241882324219,210.7654266357422,274.5649719238281,451.940185546875,488.1325988769531,275.4816589355469,744.9927368164062,1047.1558837890625,577.0936889648438,348.87939453125,345.6056213378906,137.23194885253906
20,13,Gb9,Gb,25.0,263.2134094238281,360.7054748535156,206.9343719482422,600.4210205078125,571.6461791992188,523.8182373046875,924.3864135742188,673.7606811523438,1771.1767578125,475.1327209472656,354.0564270019531,141.69834899902344
21,14,Ab9,Ab,26.0,273.8724060058594,206.5470428466797,248.67713928222656,435.2898254394531,436.134033203125,278.46197509765625,659.178955078125,729.90673828125,919.0687866210938,748.9811401367188,362.4937438964844,140.7010955810547
22,14,Gb9,Gb,27.0,261.1930847167969,357.683349609375,203.56756591796875,575.2803344726562,568.0437622070312,530.7698364257812,910.054443359375,602.8193969726562,1617.7723388671875,896.575927734375,393.8417053222656,139.1522979736328
23,15,Ab9,Ab,28.0,246.56898498535156,193.99620056152344,226.09593200683594,439.8203430175781,509.3226623535156,271.66448974609375,603.3431396484375,526.7045288085938,474.180419921875,727.9421997070312,381.9567565917969,133.52684020996094
24,15,Gb9,Gb,29.0,261.5882568359375,360.9216003417969,203.92674255371094,573.3576049804688,588.1953735351562,528.7841186523438,915.8683471679688,613.011962890625,1675.87646484375,1525.947265625,515.7552490234375,144.0198516845703
25,16,Ab9,Ab,30.0,285.4342346191406,211.02337646484375,258.7366027832031,421.1079406738281,436.2879943847656,302.4555969238281,670.03857421875,718.864013671875,956.960205078125,1294.635986328125,832.4393920898438,211.9915008544922
26,16,Gb9,Gb,31.0,330.55706787109375,379.3548889160156,215.1646728515625,584.7868041992188,582.8692016601562,528.2139892578125,930.4782104492188,678.0349731445312,1570.7264404296875,497.2091064453125,648.5592041015625,192.46507263183594
27,17,Ab9,Ab,32.0,283.50518798828125,225.7786407470703,293.48980712890625,444.248046875,394.9346618652344,268.039794921875,797.3440551757812,1233.300537109375,990.249267578125,261.0252380371094,303.7293395996094,143.5755157470703
28,17,Gb9,Gb,33.0,262.96929931640625,356.8879089355469,204.7661590576172,587.7367553710938,569.5086059570312,520.4094848632812,915.949462890625,662.9856567382812,1812.6212158203125,495.4486999511719,338.60040283203125,141.3569793701172
29,18,Ab9,Ab,34.0,270.6591491699219,206.21192932128906,247.05267333984375,430.4455261230469,420.2821350097656,269.0685729980469,657.4728393554688,723.89208984375,919.0936889648438,739.486328125,355.2679443359375,139.16360473632812
30,18,Gb9,Gb,35.0,273.79400634765625,322.1309509277344,196.6030731201172,543.6190795898438,449.0838317871094,260.3858337402344,478.7665710449219,578.2095947265625,1568.1275634765625,969.176025390625,215.96697998046875,289.18914794921875
31,19,Ab9,Ab,36.0,159.00579833984375,138.26327514648438,74.6592788696289,198.50372314453125,211.9688262939453,116.192138671875,114.75003814697266,171.2298126220703,66.68900299072266,63.891361236572266,34.663578033447266,57.71893310546875
32,19,A9,A,36.5,96.45159149169922,69.55970001220703,51.00883102416992,162.92955017089844,84.47708892822266,48.0326042175293,45.9647216796875,79.30990600585938,40.153282165527344,43.731266021728516,27.717187881469727,27.68090057373047
33,19,Gb9,Gb,37.0,37.024436950683594,15.263943672180176,18.859500885009766,61.70662307739258,39.04987716674805,31.38817596435547,14.92087173461914,15.9346923828125,6.712213516235352,6.237998962402344,4.818837642669678,11.713170051574707
34,19,F9,F,37.5,14.18679141998291,5.812311172485352,11.27694034576416,19.8341007232666,11.270159721374512,11.205642700195312,9.49712085723877,5.568552017211914,2.3616368770599365,2.9627532958984375,2.6847593784332275,6.47053861618042
35,20,F7,F,38.0,1537.2623291015625,401.24169921875,538.5223388671875,2433.908935546875,1255.23779296875,1030.9144287109375,255.8243408203125,305.6840515136719,404.4078674316406,1259.3388671875,302.3843688964844,336.73199462890625
36,21,F7,F,40.0,1567.61962890625,404.7676696777344,541.8390502929688,2495.581298828125,1998.4102783203125,1171.4251708984375,312.4737243652344,385.9166564941406,474.5064697265625,1335.8857421875,412.8656311035156,406.1029357910156
37,22,F7,F,42.0,1525.4898681640625,359.16162109375,510.6451721191406,2391.25048828125,1204.7027587890625,1009.237548828125,230.26976013183594,276.9942932128906,391.8460693359375,1259.3597412109375,319.79150390625,337.5547790527344
38,23,F7,F,44.0,242.1538848876953,326.8605651855469,1502.8818359375,494.2029113769531,520.2172241210938,2344.92724609375,588.8546142578125,230.921875,1046.935791015625,693.7648315429688,1447.1190185546875,270.61334228515625
39,24,Bb7,Bb,46.0,189.36009216308594,304.3989562988281,1464.7821044921875,381.4851989746094,466.0071716308594,2116.235595703125,580.6995239257812,231.0149688720703,1055.9495849609375,684.3385620117188,1435.0924072265625,264.2599182128906
40,25,Bb7,Bb,48.0,1517.2091064453125,393.2351379394531,540.1843872070312,2492.05078125,2036.359375,1366.8135986328125,331.7685546875,377.9875793457031,471.9571533203125,1369.69482421875,412.595947265625,402.5400085449219
41,26,F7,F,50.0,1530.2781982421875,362.274658203125,506.0008544921875,2384.795166015625,1211.3404541015625,972.9531860351562,213.6148223876953,276.1139831542969,392.462646484375,1264.6334228515625,314.8641662597656,335.9139099121094
42,27,F7,F,52.0,621.0925903320312,453.2685241699219,888.6931762695312,789.7389526367188,1654.14404296875,2627.499267578125,952.0100708007812,1427.32666015625,558.2186889648438,1294.1400146484375,1616.6754150390625,481.1091613769531
43,28,C13,C,54.0,1658.90625,565.2532958984375,913.9943237304688,2160.913330078125,1309.69140625,1615.6214599609375,676.9389038085938,1556.2835693359375,1524.3865966796875,574.1805419921875,369.1414794921875,477.5716857910156
44,29,Bb13,Bb,56.0,470.6936340332031,427.86328125,354.8876037597656,487.3598327636719,543.8280639648438,504.258544921875,312.2239685058594,447.5693054199219,426.4565734863281,353.3977966308594,162.5596160888672,155.3032684326172
45,29,Bb13,Bb,56.66666666666666,99.5492172241211,111.0649185180664,92.52719116210938,275.353515625,386.2213134765625,348.3249206542969,128.37274169921875,105.95661163330078,94.53885650634766,100.8528060913086,166.39779663085938,89.95183563232422
46,29,B13,B,57.33333333333334,259.28851318359375,65.9002685546875,43.99024963378906,87.80927276611328,119.12084197998047,119.23846435546875,48.82559585571289,24.680740356445312,19.534454345703125,20.316919326782227,26.164793014526367,54.536617279052734
47,30,C13,C,58.0,980.695556640625,795.2726440429688,570.9472045898438,1162.0142822265625,1223.6396484375,802.28759765625,680.8424682617188,561.552001953125,990.9935913085938,726.2598266601562,271.11328125,387.7106018066406
48,30,B13,B,59.0,170.87501525878906,134.19847106933594,134.9787139892578,482.7320251464844,305.7969055175781,251.3013458251953,154.4160919189453,273.69561767578125,553.0691528320312,131.11512756347656,48.09273910522461,46.14108657836914
49,31,Bb13,Bb,60.0,361.3352966308594,365.6980895996094,367.4242248535156,565.0833129882812,556.04248046875,419.1689758300781,298.2828063964844,336.7987976074219,365.7001953125,336.3131408691406,188.8744354248047,189.20458984375
50,31,Bb13,Bb,60.66666666666666,467.3863220214844,167.44149780273438,84.45205688476562,297.5192565917969,377.8332824707031,199.16209411621094,96.94146728515625,97.06232452392578,75.13036346435547,117.40885162353516,82.54803466796875,119.43001556396484
51,31,B13,B,61.33333333333334,255.5659637451172,59.9281005859375,46.70441818237305,51.57608413696289,91.17129516601562,110.924560546875,85.4247055053711,282.4278564453125,72.1718978881836,19.153934478759766,11.450313568115234,49.2422981262207
52,32,C13,C,62.0,450.8338623046875,587.25146484375,348.9473876953125,742.6762084960938,865.5387573242188,528.8240356445312,601.6072387695312,378.4905090332031,525.063232421875,488.6606750488281,1353.097412109375,379.1785888671875
53,32,B13,B,63.0,122.80904388427734,102.3010482788086,115.9545669555664,365.11962890625,239.5299072265625,217.57176208496094,105.79434967041016,121.81786346435547,63.58424758911133,58.93398666381836,59.4455680847168,41.23044967651367
54,33,Bb13,Bb,64.0,1282.8572998046875,449.0220947265625,676.814208984375,2276.12451171875,1202.8629150390625,819.5316772460938,2822.791259765625,1019.1979370117188,1337.6756591796875,482.4180603027344,1423.2958984375,516.8204956054688
55,34,Ab9,Ab,66.0,463.0966491699219,418.1316223144531,181.3317413330078,385.7783508300781,566.3968505859375,318.59295654296875,625.3964233398438,339.4032287597656,374.7426452636719,140.22274780273438,393.7474365234375,158.0076141357422
56,34,Gb9,Gb,67.0,118.49500274658203,53.757568359375,52.69367980957031,223.21730041503906,115.94964599609375,74.67273712158203,153.2229766845703,48.47530746459961,113.96405029296875,66.77596282958984,308.5491027832031,72.62078094482422
57,35,Ab9,Ab,68.0,1353.929931640625,453.5910949707031,561.8297119140625,1948.5096435546875,787.7357788085938,697.6546020507812,2877.520751953125,969.4111328125,1900.6002197265625,4409.72705078125,2097.183349609375,511.925537109375
58,36,Ab9,Ab,70.0,251.28118896484375,198.4552459716797,158.3070831298828,349.1742248535156,357.0816650390625,238.99659729003906,565.5291748046875,205.7239532470703,249.2765350341797,156.6387481689453,636.8780517578125,180.09925842285156
59,36,Gb9,Gb,71.0,281.0179443359375,283.04437255859375,126.41659545898438,396.3411865234375,524.7981567382812,297.4327392578125,356.9927978515625,178.3463897705078,233.2666473388672,158.4236297607422,566.9931030273438,154.3078155517578
60,37,Ab9,Ab,72.0,250.2467041015625,214.73573303222656,188.2462158203125,366.7383117675781,350.4641418457031,223.67210388183594,805.9863891601562,824.6790161132812,439.1465759277344,125.10488891601562,298.7254943847656,118.40933990478516
61,37,Gb9,Gb,73.0,212.1076202392578,265.3207092285156,117.22073364257812,404.4696960449219,513.5591430664062,283.0809326171875,349.2120666503906,204.31996154785156,644.4376831054688,187.8296356201172,284.6732177734375,106.43842315673828
62,38,Ab9,Ab,74.0,235.646484375,190.0515899658203,145.1129913330078,345.9880065917969,346.2073974609375,193.655517578125,553.8587036132812,201.20843505859375,247.77439880371094,96.37993621826172,269.0594177246094,107.13790893554688
63,38,Gb9,Gb,75.0,290.38775634765625,321.7033996582031,158.44781494140625,551.1500854492188,555.4638061523438,296.2897644042969,362.8299255371094,209.51719665527344,243.39491271972656,120.25801849365234,302.90997314453125,129.02000427246094
64,39,Ab9,Ab,76.0,247.2838134765625,214.4791259765625,189.54029846191406,364.3802490234375,348.5625305175781,222.34547424316406,805.812255859375,827.287109375,440.69970703125,124.17236328125,297.118896484375,117.35845184326172
65,39,Gb9,Gb,77.0,208.7019805908203,264.7655334472656,116.2908935546875,385.6781311035156,507.28173828125,282.9056396484375,343.5584716796875,123.62093353271484,224.9242706298828,124.28133392333984,284.6553039550781,105.65869140625
66,40,Ab9,Ab,78.0,235.8004150390625,189.7953643798828,144.82540893554688,345.7508850097656,345.0008239746094,192.9010772705078,553.7866821289062,200.301513671875,244.4472198486328,95.33623504638672,267.6456604003906,106.84136199951172
67,40,Gb9,Gb,79.0,208.1667938232422,264.6521301269531,116.05777740478516,385.0602722167969,507.6142272949219,284.2482604980469,343.8459167480469,123.53689575195312,222.09278869628906,123.45606231689453,282.63018798828125,105.21548461914062
68,41,Ab9,Ab,80.0,235.9220428466797,189.802001953125,144.70309448242188,345.5630187988281,345.3460388183594,193.1920623779297,553.6093139648438,199.6367950439453,243.09068298339844,95.2545166015625,267.7444763183594,106.94000244140625
69,41,Gb9,Gb,81.0,343.5298156738281,306.7913818359375,122.73523712158203,385.9547119140625,505.3100891113281,284.1642150878906,343.0279541015625,127.84940338134766,223.5679931640625,123.86563110351562,285.4451904296875,124.6253662109375
70,42,Ab9,Ab,82.0,239.7556610107422,200.5610809326172,159.5782470703125,362.87451171875,346.8301696777344,214.8256378173828,745.530517578125,320.7138366699219,277.3182678222656,106.36209869384766,299.5724182128906,118.57467651367188
71,42,Gb9,Gb,83.0,209.55946350097656,265.92919921875,116.55886840820312,386.501220703125,509.7956848144531,282.9325866699219,345.5375061035156,126.77400970458984,239.3756561279297,130.6984100341797,287.7222595214844,106.2223892211914
72,43,Ab9,Ab,84.0,39.8108024597168,122.65970611572266,41.39659881591797,117.07965850830078,231.67637634277344,88.43444061279297,85.92804718017578,21.720064163208008,36.769561767578125,15.354866027832031,35.93223190307617,13.193486213684082
73,43,Gb9,Gb,85.0,153.7184295654297,298.1842041015625,220.38145446777344,184.80833435058594,541.1168823242188,857.29150390625,423.3351745605469,356.4195556640625,262.87066650390625,262.9686584472656,331.1206970214844,361.0549011230469
74,44,G9,G,86.0,190.2670135498047,118.92537689208984,109.4559326171875,280.0481262207031,303.6105041503906,197.09461975097656,86.94466400146484,119.2921371459961,69.07160186767578,102.82801055908203,52.16340255737305,87.195556640625
75,44,Gb9,Gb,86.66666666666669,118.57816314697266,49.2359733581543,48.29658508300781,177.1641845703125,118.18238067626953,103.26616668701172,41.269737243652344,38.19692611694336,20.323698043823242,34.91702651977539,17.191923141479492,34.13521957397461
76,44,F9,F,87.33333333333331,0.3414088189601898,0.16191436350345612,0.5716738104820251,2.107081174850464,1.4571505784988403,0.8156125545501709,0.3588014841079712,0.30637097358703613,0.12309784442186356,0.10324885696172714,0.10019892454147339,0.19182217121124268
77,45,F7,F,88.0,0.0063147954642772675,0.011007405817508698,0.06313411891460419,0.15116719901561737,0.09504301100969315,0.02405685931444168,0.017349829897284508,0.01687227562069893,0.005815234500914812,0.004337551072239876,0.004104525316506624,0.005543598905205727
