,Measure,Why!,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
16,21,E7(#9),E,40.0,3201.412841796875,3181.921630859375,15163.8798828125,9927.8076171875,11765.8623046875,2612.044189453125,4457.03173828125,12907.5830078125,11043.4892578125,3234.701416015625,3673.48046875,16928.31640625
17,25,A7,A,48.0,1148.0927734375,5227.64208984375,1117.8143310546875,1728.908203125,8412.072265625,2077.307373046875,873.6296997070312,4618.7822265625,2353.3388671875,4118.15966796875,770.458251953125,685.97802734375
18,27,E7(#9),E,52.0,1329.32568359375,1405.8055419921875,6391.97021484375,4163.97802734375,4562.68310546875,1100.40966796875,1952.4949951171875,5550.400390625,4937.0888671875,1446.27880859375,1506.7579345703125,6709.96630859375
19,29,Bb7,Bb,56.0,81.01557159423828,152.43701171875,615.7312622070312,166.79080200195312,220.1090850830078,846.2457885742188,233.26853942871094,100.0147705078125,468.22265625,298.9772033691406,567.17626953125,126.44722747802734
20,29,Bb7,Bb,57.0,3.999008893966675,11.823230743408203,56.00766372680664,15.419825553894043,35.74447250366211,205.03355407714844,32.770225524902344,4.345230579376221,22.00439453125,10.690524101257324,11.584176063537598,5.053997993469238
21,30,A7,A,58.0,146.45518493652344,573.3240966796875,386.9601135253906,237.55967712402344,842.444091796875,569.5985717773438,207.31382751464844,610.3499755859375,452.3721008300781,528.3782348632812,211.8065643310547,111.15655517578125
22,30,Bb7,Bb,59.0,17.477073669433594,76.57962799072266,39.04358673095703,51.13847351074219,158.3852081298828,92.76260375976562,28.79547882080078,37.07527160644531,23.847015380859375,14.578330039978027,6.467895984649658,7.187488079071045
23,31,B7,B,60.0,133.6953125,152.99000549316406,358.2378234863281,1027.32568359375,265.6136779785156,586.29052734375,1191.0848388671875,283.1881408691406,190.451171875,510.9873046875,349.649169921875,565.3724975585938
24,31,Bb7,Bb,61.0,17.702573776245117,16.102108001708984,53.23661422729492,175.63133239746094,46.30929946899414,84.41922760009766,123.87938690185547,21.59581756591797,12.161335945129395,28.622026443481445,23.767539978027344,81.9858627319336
25,32,A7,A,62.0,461.343994140625,1941.376953125,1121.0987548828125,810.21533203125,3009.836181640625,2017.1143798828125,646.8914794921875,1847.0186767578125,1323.468505859375,1741.0654296875,650.2637329101562,382.7777404785156
26,33,E7(#9),E,64.0,886.5003051757812,1017.9522094726562,4365.06591796875,2914.838623046875,2927.595703125,970.977294921875,1387.7249755859375,3715.841064453125,3311.338134765625,1049.0257568359375,1002.0702514648438,4275.728515625
