,Measure,TakeMeThere,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
18,18,Fmaj7,F,34.0,2443.173095703125,490.7691345214844,214.000732421875,716.309814453125,3548.877685546875,1843.9114990234375,379.5372009277344,391.7643127441406,545.26416015625,1677.88134765625,381.6295471191406,567.8784790039062
19,19,E7,E,36.0,477.5295104980469,401.5011291503906,2208.91162109375,1032.4056396484375,3430.7841796875,656.5158081054688,210.41864013671875,251.48927307128906,1294.0137939453125,323.3382263183594,338.6969299316406,1856.7213134765625
20,20,Amin7,A,38.0,1877.1220703125,441.4949951171875,260.0654602050781,669.3554077148438,3016.606689453125,559.8276977539062,303.7401123046875,1584.77783203125,736.8228149414062,1900.9200439453125,438.7161865234375,598.5982055664062
21,21,D9,D,40.0,2050.474853515625,571.5833740234375,686.6047973632812,805.4569702148438,3132.3095703125,994.4267578125,1761.80810546875,593.3362426757812,697.7987670898438,1860.9974365234375,470.4591064453125,540.5694580078125
22,22,Ebmaj7,Eb,42.0,1388.3734130859375,1417.3697509765625,7762.896484375,10779.2216796875,2292.51611328125,519.1928100585938,1013.0775756835938,4904.13525390625,1194.5125732421875,2224.735107421875,5415.8037109375,1276.3690185546875
23,24,Dmin7,D,46.0,2250.667236328125,784.5907592773438,1864.8841552734375,588.0738525390625,1571.7376708984375,3768.3623046875,824.19189453125,244.2464599609375,324.40069580078125,1313.0694580078125,297.75347900390625,394.0169372558594
24,25,G7,G,48.0,65.6635971069336,54.2991828918457,165.66650390625,93.08316040039062,106.85485076904297,425.6242980957031,327.5842590332031,1462.8350830078125,226.144287109375,57.72050094604492,54.49211120605469,166.8880615234375
25,26,Dmin7,D,50.0,2156.9296875,1201.1070556640625,4515.70947265625,853.7046508789062,806.3372192382812,3464.886962890625,1234.8443603515625,3489.193359375,794.598388671875,1316.57373046875,328.8852844238281,517.266357421875
26,27,Cmin7,C,52.0,1639.2017822265625,403.9075012207031,822.1937866210938,3160.931640625,940.6300659179688,271.41241455078125,286.0341796875,1470.4932861328125,302.171630859375,366.9205322265625,1936.6318359375,735.7410278320312
27,28,F7,F,54.0,2104.32470703125,467.5089111328125,656.4127807617188,3244.756103515625,1604.6182861328125,1311.5872802734375,288.0757141113281,387.9350280761719,514.5044555664062,1655.81298828125,408.9693603515625,460.3902893066406
28,29,Cmin7,C,56.0,1796.7142333984375,429.3270568847656,821.0348510742188,3121.938232421875,932.9802856445312,260.4401550292969,286.1474304199219,1495.5323486328125,301.6169128417969,362.1586608886719,1934.9964599609375,745.5477905273438
29,30,F7,F,58.0,595.7969360351562,147.08676147460938,225.526611328125,982.768310546875,527.6980590820312,389.7607727050781,102.92107391357422,128.68344116210938,189.90916442871094,527.5131225585938,143.79539489746094,148.9624786376953
30,30,Bmin7,B,59.0,110.5722427368164,28.99078369140625,36.03374099731445,193.7094268798828,63.90920639038086,55.73478317260742,10.848320960998535,7.329579830169678,7.044398784637451,11.6757230758667,5.4459991455078125,23.530759811401367
31,31,Bbmin7,Bb,60.0,741.2932739257812,1835.2679443359375,1044.64404296875,420.0404052734375,722.2754516601562,3545.7685546875,1803.9208984375,427.8905334472656,1320.5733642578125,1023.7272338867188,2180.297119140625,1093.4737548828125
32,32,Eb9,Eb,62.0,477.3945617675781,1928.9764404296875,1359.6595458984375,1319.5592041015625,811.92431640625,3141.078857421875,961.0744018554688,1712.6741943359375,513.1619873046875,637.7870483398438,1975.6339111328125,435.4222717285156
33,33,Abmaj7,Ab,64.0,1832.7532958984375,534.2081909179688,708.0170288085938,2713.872314453125,806.05615234375,278.05810546875,351.7064514160156,1839.5614013671875,1745.8421630859375,339.89013671875,193.664794921875,522.7332763671875
34,34,Db9,Db,66.0,1280.2681884765625,1191.2420654296875,1382.5177001953125,5666.330078125,1651.3973388671875,2714.20654296875,915.6435546875,1107.5322265625,3243.385986328125,813.1447143554688,991.046630859375,3844.631103515625
