,Measure,Ballad,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
12,9,Gbmin7,Gb,16.0,479.1502685546875,1658.43896484375,473.6894226074219,1001.0570678710938,2964.184326171875,1962.6224365234375,2285.719970703125,547.2898559570312,820.1261596679688,1668.74755859375,481.5720520019531,322.554931640625
13,10,Emin7,E,18.0,133.0566864013672,140.84837341308594,693.0049438476562,433.7484436035156,1042.7977294921875,219.7434539794922,134.54908752441406,616.4432983398438,1201.5377197265625,247.96897888183594,104.85848999023438,560.6097412109375
14,10,F#,F#,19.0,116.05883026123047,623.8189697265625,154.21649169921875,65.80937957763672,218.0126190185547,399.7366638183594,1391.56884765625,292.3614196777344,66.12641906738281,100.50873565673828,529.2178344726562,125.0321044921875
15,11,Bmin7,B,20.0,476.2873840332031,1101.8175048828125,1985.55615234375,862.4729614257812,341.8338928222656,857.8424682617188,4419.3623046875,830.2516479492188,292.0085144042969,1301.3358154296875,678.9351806640625,1999.9678955078125
16,12,Gb,Gb,22.0,93.17252349853516,517.9276733398438,129.96800231933594,45.77030563354492,65.37324523925781,238.04859924316406,1039.3795166015625,191.9934844970703,69.48473358154297,113.39407348632812,539.6859741210938,104.94591522216797
17,12,B7,B,23.0,127.39031219482422,178.796875,234.85069274902344,755.6222534179688,154.40438842773438,267.822021484375,1317.849853515625,264.8714599609375,99.9070053100586,451.5141906738281,244.99803161621094,513.724609375
18,13,Emaj7,E,24.0,634.3251342773438,307.7061462402344,309.6471252441406,1630.35791015625,3449.999755859375,691.5244750976562,575.73828125,386.3992614746094,1272.8787841796875,492.1406555175781,1665.6688232421875,3587.387451171875
19,14,Ab,Ab,26.0,318.6104431152344,112.4930191040039,228.14141845703125,870.3783569335938,254.369384765625,60.843326568603516,75.85872650146484,245.1791534423828,489.9111022949219,121.05014038085938,87.69851684570312,103.08749389648438
20,14,Ab/Bb,Ab,27.0,609.6890258789062,169.51571655273438,232.20045471191406,949.3742065429688,325.2571105957031,281.6080627441406,103.19400787353516,257.4473571777344,448.342529296875,131.93592834472656,94.61260986328125,141.25645446777344
21,15,Ebmin7,Eb,28.0,210.45094299316406,570.479736328125,383.2514953613281,1095.0714111328125,210.75140380859375,278.923828125,1104.5379638671875,647.0144653320312,130.6128692626953,106.45556640625,545.5399780273438,119.30645751953125
22,15,Db,Db,29.0,196.48988342285156,597.3128662109375,171.37306213378906,291.630859375,261.6840515136719,1174.0709228515625,338.93988037109375,128.4264373779297,415.6195983886719,87.54827880859375,55.1286735534668,51.863956451416016
23,16,Fmin7,F,30.0,577.402587890625,201.38958740234375,198.21681213378906,750.3381958007812,406.8553771972656,508.5469970703125,128.41343688964844,243.05372619628906,649.0391235351562,155.34251403808594,62.5445442199707,159.45411682128906
24,16,Bb7,Bb,31.0,224.2500457763672,214.6273651123047,683.2584838867188,587.2222290039062,331.6484069824219,1024.2296142578125,288.0647277832031,163.1443634033203,504.5021667480469,299.5076599121094,604.9410400390625,163.51051330566406
25,17,Gmin7,G,32.0,259.2392578125,331.8958740234375,1038.6060791015625,395.4818115234375,709.6548461914062,3045.292236328125,1040.388916015625,1698.9923095703125,456.593017578125,1051.176513671875,4256.56884765625,699.6992797851562
26,18,Abmin7,Ab,34.0,124.72994232177734,75.98462677001953,201.2130889892578,826.3414916992188,164.4581756591797,236.94984436035156,1088.92138671875,341.0475769042969,489.6302490234375,145.4491729736328,274.87506103515625,530.5032348632812
27,18,Ab,Ab,35.0,534.7379760742188,162.71461486816406,222.68780517578125,816.372314453125,245.38458251953125,100.09491729736328,308.6992492675781,302.7026672363281,518.8079833984375,126.77487182617188,80.48236846923828,178.93211364746094
28,19,Gb7,Gb,36.0,723.26220703125,1665.8095703125,878.7864379882812,1471.1798095703125,3684.503173828125,1770.7147216796875,1734.6470947265625,392.56298828125,434.4811706542969,715.1558227539062,2021.9644775390625,540.9232788085938
29,20,Ab/Bb,Ab,38.0,240.4183807373047,99.34993743896484,130.3075714111328,381.2035827636719,134.88734436035156,62.58707809448242,60.11131286621094,158.34104919433594,182.49342346191406,57.10500717163086,50.43519592285156,69.5665283203125
30,20,Gmin,G,38.66666666666666,104.42858123779297,57.786930084228516,154.47085571289062,152.3402557373047,53.99921798706055,67.8552474975586,39.99323272705078,84.37918853759766,43.27035903930664,67.39836120605469,267.6656188964844,68.41509246826172
31,20,Ab,Ab,39.333333333333336,39.05211639404297,24.57649040222168,96.8268814086914,152.40585327148438,32.926387786865234,23.37495994567871,23.357900619506836,73.59806060791016,32.11079406738281,26.075971603393555,81.09085845947266,24.651281356811523
32,21,Ab,Ab,40.0,263.5368957519531,90.86743927001953,120.7851791381836,413.8196105957031,111.26766204833984,17.202484130859375,36.76268005371094,148.9683380126953,189.36073303222656,50.35020065307617,38.08595657348633,74.12885284423828
33,21,Gmin,G,40.66666666666666,106.26913452148438,56.356292724609375,155.5125732421875,154.5757293701172,46.58110046386719,37.596961975097656,30.613059997558594,85.01363372802734,37.18388748168945,62.6870231628418,259.66326904296875,69.5149917602539
34,21,Ab,Ab,41.333333333333336,37.086036682128906,20.712635040283203,95.77620697021484,148.55398559570312,29.769981384277344,11.909725189208984,20.323549270629883,71.49689483642578,26.876358032226562,19.587629318237305,65.26114654541016,21.725175857543945
35,22,Ab,Ab,42.0,565.5507202148438,147.2227325439453,198.09898376464844,779.1240844726562,214.0435028076172,33.16086196899414,55.0491943359375,248.9839630126953,439.21240234375,98.86856079101562,65.22542572021484,130.1924285888672
36,22,Gmin,G,43.0,139.51791381835938,147.03448486328125,689.67333984375,350.0387268066406,113.3331298828125,129.15016174316406,113.20232391357422,464.545166015625,118.4958267211914,259.56329345703125,1414.2601318359375,278.7426452636719
37,23,Ab,Ab,44.0,1840.80419921875,439.3260192871094,570.8084716796875,1840.8341064453125,615.9126586914062,117.0762939453125,169.6566925048828,820.3541870117188,1601.8251953125,320.9787902832031,299.9349670410156,397.1779479980469
38,24,Ebmin7,Eb,46.0,368.7626647949219,1851.9488525390625,972.6576538085938,3121.024658203125,557.4319458007812,718.98876953125,3747.7021484375,2121.2958984375,357.4889221191406,334.7751159667969,1964.3868408203125,343.1763000488281
39,25,Db,Db,48.0,509.6825256347656,1614.8525390625,349.5394287109375,394.118408203125,774.0161743164062,3719.9755859375,733.2101440429688,643.5381469726562,4239.9775390625,703.5394897460938,95.83071899414062,106.88241577148438
40,26,Eb,Eb,50.0,133.62928771972656,211.2659912109375,774.2959594726562,3136.513427734375,641.7442016601562,368.8560791015625,335.4748840332031,1494.94287109375,314.9924621582031,644.4295654296875,4174.73486328125,741.6814575195312
41,27,Eb7,Eb,52.0,1459.8953857421875,8114.47998046875,3737.036376953125,12546.3232421875,2269.129638671875,871.6382446289062,1067.7000732421875,5957.45263671875,1207.0216064453125,1172.1209716796875,6707.669921875,1477.974609375
