,Measure,Chameleon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
28,43,Db7,Db,84.0,27.280168533325195,130.11895751953125,26.885892868041992,11.516791343688965,74.23580169677734,445.1064147949219,75.74311828613281,9.345908164978027,39.882911682128906,15.150506019592285,16.615774154663086,45.1900749206543
29,44,Bb,Bb,86.0,1800.7318115234375,11095.12109375,3182.1591796875,3376.937744140625,1602.1412353515625,4218.8564453125,867.7144165039062,1790.5025634765625,8938.0068359375,2300.92333984375,3962.515380859375,933.3163452148438
30,48,Bbmin7,Bb,94.0,2150.6396484375,1276.0550537109375,364.5157165527344,85.89502716064453,122.80471801757812,471.7231750488281,119.75088500976562,119.8015365600586,99.10741424560547,65.89783477783203,214.776611328125,335.7838134765625
31,49,Eb7,Eb,96.0,143.50439453125,218.8977508544922,184.2349853515625,461.4710388183594,146.5304718017578,185.0069580078125,360.260498046875,1915.3310546875,872.4352416992188,275.43133544921875,150.00836181640625,161.7534942626953
32,50,Bbmin7,Bb,98.0,76.9664306640625,379.93701171875,80.67829132080078,68.01148986816406,102.70191192626953,477.1362609863281,85.21312713623047,45.63890075683594,159.40098571777344,251.0969696044922,1175.92919921875,224.07374572753906
33,51,Eb7,Eb,100.0,45.54478073120117,117.4864501953125,114.14556121826172,447.4460144042969,101.4248275756836,173.82423400878906,53.82597351074219,176.08863830566406,809.830322265625,419.3457336425781,1758.6116943359375,263.8028259277344
34,52,Bbmin7,Bb,102.0,32.21664047241211,167.8704376220703,41.98405838012695,57.71372985839844,87.09490203857422,436.7259521484375,72.79007720947266,26.57600212097168,71.5337905883789,21.75462532043457,24.39982032775879,8.42706298828125
35,53,Eb7,Eb,104.0,23.389541625976562,107.84255981445312,94.23141479492188,393.9842529296875,72.76359558105469,72.39188385009766,17.742528915405273,50.56937789916992,15.521702766418457,13.724167823791504,53.64487838745117,11.211463928222656
36,54,Bbmin7,Bb,106.0,101.00067138671875,634.76611328125,123.7887191772461,117.1861801147461,125.93167114257812,478.454833984375,80.40666961669922,53.65370178222656,259.2760009765625,64.05522918701172,25.901391983032227,18.845178604125977
37,55,Eb7,Eb,108.0,65.6969985961914,226.81121826171875,129.39080810546875,448.8047790527344,103.27539825439453,176.79237365722656,54.3585090637207,177.167724609375,815.6240844726562,477.6671447753906,2145.53466796875,320.3258361816406
38,56,Bbmin7,Bb,110.0,34.50242614746094,185.0045166015625,44.53055191040039,57.16176223754883,87.12358856201172,439.7410583496094,82.50874328613281,24.7145938873291,70.73515319824219,24.51381492614746,42.90617370605469,10.103852272033691
39,57,Ebmin7,Eb,112.0,20.237932205200195,100.36591339111328,98.4554443359375,401.3281555175781,66.1580581665039,95.6556625366211,190.695556640625,36.42033767700195,6.548925399780273,9.067075729370117,49.23586654663086,9.610161781311035
40,58,Bb,Bb,114.0,3720.6318359375,22758.287109375,7600.42626953125,7521.26904296875,3752.48046875,11956.3115234375,3007.474365234375,3723.159912109375,17377.431640625,5252.46533203125,12727.6923828125,2547.730224609375
