,Measure,8CountsForRita,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
34,23,G7,G,44.0,882.114990234375,448.6001892089844,1243.1737060546875,1331.3887939453125,1133.2252197265625,4388.72705078125,1384.6815185546875,1729.6226806640625,386.2690124511719,366.9069519042969,437.6047058105469,2034.84912109375
35,24,G7,G,46.0,473.8259582519531,350.9120178222656,1094.7686767578125,621.9212646484375,747.8358764648438,3596.436767578125,1331.44384765625,1651.9735107421875,349.6020812988281,309.4712829589844,437.9831848144531,1946.9901123046875
36,25,G7,G,48.0,471.216796875,346.1139831542969,1103.8028564453125,644.38525390625,762.6152954101562,3638.572265625,1346.46142578125,1646.8775634765625,344.2527770996094,288.54608154296875,432.0186462402344,1946.5186767578125
37,26,G7,G,50.0,468.773193359375,343.9847106933594,1083.6356201171875,598.060546875,743.7643432617188,3650.327880859375,1357.2252197265625,1649.0274658203125,342.1760559082031,294.1866760253906,431.9879150390625,1935.8062744140625
38,27,G7,G,52.0,462.5415954589844,341.4150085449219,1089.5926513671875,609.7990112304688,749.388916015625,3660.452880859375,1359.46484375,1660.86767578125,344.60498046875,292.8713684082031,431.9418029785156,1940.1444091796875
39,28,G7,G,54.0,466.3658752441406,342.615478515625,1090.0531005859375,598.9227905273438,744.2025756835938,3656.546875,1356.1773681640625,1669.7293701171875,345.6539611816406,290.2896728515625,429.1824645996094,1940.1182861328125
40,29,C7,C,56.0,1822.2618408203125,375.6365051269531,321.8890686035156,772.4951171875,3799.936279296875,760.0798950195312,283.8573913574219,1445.794921875,398.9533996582031,339.81695556640625,1701.18017578125,830.4138793945312
41,30,C7,C,58.0,1800.5946044921875,393.3208923339844,297.0495300292969,777.2670288085938,3732.088134765625,679.1178588867188,288.3045349121094,1512.8118896484375,403.2684020996094,338.4096374511719,1703.9285888671875,764.3600463867188
42,31,G7,G,60.0,517.2916259765625,356.2120666503906,1096.9061279296875,639.55517578125,833.554443359375,3698.681884765625,1365.7169189453125,1692.0662841796875,344.8213195800781,283.2717590332031,426.4497375488281,1885.7662353515625
43,32,G7,G,62.0,491.4109191894531,345.9779052734375,1083.7745361328125,614.4501342773438,760.1903686523438,3657.4560546875,1360.281494140625,1647.91650390625,341.9983215332031,292.10296630859375,441.3088684082031,1943.80908203125
44,33,Db/Eb,Db,64.0,398.8876037597656,594.9078979492188,287.11077880859375,396.1365966796875,309.7185363769531,1131.592041015625,224.27911376953125,116.3293685913086,439.582763671875,104.3473129272461,56.065250396728516,88.60948944091797
45,33,C/D,C,65.0,548.1445922851562,216.8392791748047,244.8328857421875,293.34710693359375,1141.6654052734375,435.2644348144531,180.3523406982422,483.7726745605469,150.08705139160156,68.86724090576172,58.352359771728516,198.86476135253906
46,34,Cmin7,C,66.0,573.4329833984375,171.5523681640625,304.36968994140625,1059.3990478515625,495.0503845214844,113.64415740966797,112.90067291259766,482.2223815917969,117.80984497070312,119.84243774414062,574.6176147460938,465.1160583496094
47,34,F7,F,67.0,578.2384643554688,159.9820556640625,246.9285125732422,1059.9549560546875,578.3477783203125,460.3891906738281,114.19271850585938,162.7500457763672,199.06419372558594,517.3174438476562,177.6192626953125,158.00523376464844
48,35,C,C,68.0,3037.624755859375,665.5359497070312,532.747802734375,2640.22607421875,7059.140625,1597.6024169921875,565.6229248046875,2840.577392578125,677.8338623046875,229.71424865722656,226.0303955078125,934.0060424804688
