,Measure,Red Clay C,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
48,37,Eb7,Eb,73.0,139.01075744628906,551.34912109375,319.0674133300781,923.5530395507812,236.29087829589844,273.28253173828125,119.11006927490234,456.5215148925781,137.1075897216797,125.80563354492188,576.675537109375,147.5628204345703
49,38,Abmaj7,Ab,74.0,1874.7218017578125,679.6511840820312,762.1889038085938,2808.715576171875,825.0507202148438,270.84027099609375,362.5848693847656,1969.16064453125,1716.7591552734375,344.6982116699219,289.6763610839844,564.9317016601562
50,39,Dmin7,D,76.0,608.2553100585938,242.10691833496094,567.7348022460938,173.3491668701172,295.43731689453125,1050.0938720703125,265.6919860839844,67.38585662841797,87.85714721679688,409.6605224609375,91.7656021118164,109.2162857055664
51,39,G7,G,77.0,73.93500518798828,23.53838348388672,57.13120651245117,30.016769409179688,36.522369384765625,204.4041748046875,30.89636993408203,3.5213024616241455,5.2481184005737305,26.48383140563965,6.9739556312561035,11.872504234313965
52,40,Cmin7,C,78.0,4753.59814453125,1008.4273071289062,1378.2279052734375,3418.3779296875,1230.6962890625,1703.7618408203125,901.0924682617188,3544.740234375,656.9382934570312,460.7922058105469,2130.902587890625,1825.2786865234375
53,41,Bbmin7,Bb,80.0,606.0862426757812,1783.2498779296875,543.2476196289062,350.83544921875,800.2874145507812,3362.51953125,630.1744384765625,340.7148132324219,1417.7484130859375,1139.951416015625,4499.798828125,781.413330078125
54,42,Db7,Db,82.0,324.144775390625,1153.65576171875,246.96514892578125,148.4963836669922,268.7356262207031,1182.24853515625,234.7326202392578,134.706787109375,591.2229614257812,137.7401123046875,103.38140869140625,498.4841003417969
55,42,Eb7,Eb,83.0,148.595703125,559.8702392578125,321.5368347167969,907.1972045898438,229.8874053955078,308.3512268066406,132.5898895263672,476.542724609375,150.63352966308594,147.45335388183594,719.804931640625,193.9270477294922
56,43,F7,F,84.0,631.2623291015625,217.95916748046875,254.66986083984375,1105.4783935546875,573.4622192382812,525.9852905273438,127.0594711303711,184.7335662841797,210.17149353027344,565.4813842773438,195.69935607910156,177.8815460205078
57,43,G7,G,85.0,181.99559020996094,132.41114807128906,493.7846374511719,346.3739318847656,214.06500244140625,732.2124633789062,269.8039245605469,426.9896240234375,123.91436004638672,135.5457000732422,117.78860473632812,426.7341613769531
58,44,Cmin7,C,86.0,43021.984375,8253.9228515625,9204.376953125,33887.27734375,9220.0107421875,7350.64111328125,3686.223876953125,14845.2587890625,2843.103271484375,3086.133544921875,16993.224609375,11591.3857421875
