,Measure,NoProblem,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
12,14,G7,G,26.0,166.5921173095703,54.8150520324707,183.8804168701172,57.99931335449219,112.35100555419922,709.1292114257812,103.53047943115234,7.671056270599365,13.813922882080078,73.77912902832031,18.25864028930664,29.757843017578125
13,15,Cmin(maj7),C,28.0,17526.458984375,3125.169677734375,2986.517822265625,7795.85986328125,2494.030517578125,4096.95458984375,1459.7655029296875,3462.845703125,833.5185546875,1151.2886962890625,5719.353515625,8229.458984375
14,18,Gmin7(b5),G,34.0,304.80499267578125,50.95639419555664,12.197468757629395,23.13976287841797,8.493481636047363,9.816158294677734,7.347849369049072,10.665057182312012,3.5362026691436768,4.2994232177734375,13.614173889160156,50.64471435546875
15,19,C7,C,36.0,69.19932556152344,49.9224853515625,189.9376983642578,48.40740966796875,114.8320541381836,701.041015625,115.01961517333984,60.22532653808594,13.297682762145996,33.918155670166016,116.0135269165039,36.66344451904297
16,20,Gmin7(b5),G,38.0,365.5368347167969,73.27726745605469,65.32740020751953,119.85000610351562,600.078369140625,165.43411254882812,38.382503509521484,129.3832244873047,29.048683166503906,24.63047218322754,117.32904815673828,95.81228637695312
17,21,C7,C,40.0,295.6130065917969,91.4378433227539,204.9334716796875,65.32872772216797,178.5022735595703,768.6954956054688,144.02798461914062,194.5948486328125,50.9295654296875,296.2558288574219,1854.73046875,310.0254821777344
18,22,Fmin7,F,42.0,365.3148193359375,73.17182922363281,64.96509552001953,120.17069244384766,600.2504272460938,164.4304656982422,38.20198059082031,129.1829376220703,28.818403244018555,23.39459991455078,109.9328384399414,92.75088500976562
19,23,Bb7,Bb,44.0,277.1455078125,67.17423248291016,124.6458969116211,654.0482788085938,171.33135986328125,216.1766357421875,40.08586502075195,54.97201156616211,163.4557342529297,41.46824264526367,19.03270149230957,55.33137512207031
20,24,Dmin7(b5),D,46.0,31.160125732421875,41.9001579284668,220.2623748779297,114.5811767578125,131.67007446289062,702.463623046875,155.01803588867188,364.6146240234375,154.5748748779297,36.97217559814453,39.02915954589844,15.591743469238281
21,25,G7,G,48.0,825.1744995117188,176.8208465576172,208.8945770263672,105.9283447265625,180.48980712890625,802.341796875,154.43975830078125,272.427734375,426.0451965332031,415.06396484375,1922.978515625,407.0889892578125
22,26,Cmin7,C,50.0,2072.77490234375,347.8611145019531,238.85984802246094,204.3280029296875,163.4838409423828,746.8486938476562,184.3057403564453,216.4296875,50.31852722167969,36.25345993041992,133.29750061035156,589.6430053710938
23,27,Cmin(maj7),C,52.0,475.7425231933594,106.86590576171875,332.8736572265625,715.903076171875,113.55347442626953,97.64483642578125,492.601318359375,3494.6376953125,534.8488159179688,33.505340576171875,111.5423583984375,139.21221923828125
24,28,Cmin,C,54.0,328.9656982421875,92.60065460205078,208.02301025390625,645.1726684570312,109.4655990600586,177.83917236328125,216.07386779785156,1163.4715576171875,209.71099853515625,582.4653930664062,4044.415283203125,791.1322631835938
25,29,Amin7(b5),A,56.0,299.99908447265625,65.32501983642578,110.54931640625,638.3072509765625,92.1213607788086,13.786538124084473,61.82291030883789,408.588134765625,58.165679931640625,4.542542934417725,9.748636245727539,60.9973258972168
26,30,Fmin7,F,58.0,2360.392333984375,387.7505187988281,77.95631408691406,339.9645080566406,611.1461791992188,132.46363830566406,87.0865707397461,259.0411071777344,72.02491760253906,54.9174919128418,78.7618637084961,368.5426025390625
27,31,Bb7,Bb,60.0,583.1210327148438,121.59402465820312,288.64349365234375,715.47412109375,179.47740173339844,215.967041015625,462.2549743652344,3200.404296875,524.3961791992188,32.27204513549805,24.44379997253418,130.6357421875
28,32,Eb7,Eb,62.0,57.69050216674805,57.489192962646484,280.0910949707031,135.1908416748047,150.0085906982422,864.8954467773438,301.3819885253906,1074.2991943359375,279.9991455078125,640.1538696289062,4293.73583984375,629.97412109375
29,33,Eb7,Eb,64.0,28.55916404724121,90.81268310546875,145.58396911621094,630.6480102539062,99.20655059814453,71.9351577758789,74.9527587890625,457.9277648925781,70.31354522705078,17.71228790283203,89.07089233398438,21.60088348388672
30,34,D7,D,66.0,50.550201416015625,116.18169403076172,314.2221374511719,845.7994995117188,127.95904541015625,66.67035675048828,481.1510314941406,3447.124755859375,538.5996704101562,33.32897186279297,120.2900619506836,59.526676177978516
31,35,G7,G,68.0,101.59405517578125,48.40883255004883,186.4037322998047,80.38418579101562,18.497568130493164,77.93070220947266,384.5726013183594,60.87477493286133,15.716297149658203,73.35446166992188,26.67955780029297,19.016510009765625
32,36,Cmin7,C,70.0,5375.99853515625,1042.4039306640625,1175.6124267578125,2202.537109375,886.0219116210938,2256.9765625,708.821044921875,943.70068359375,276.9717712402344,454.96044921875,2259.635009765625,2068.137451171875
33,38,Dmin7(b5),D,74.0,69.29818725585938,34.674156188964844,208.51177978515625,245.61572265625,47.1156120300293,63.566776275634766,450.1822204589844,3185.591064453125,507.3005676269531,21.513132095336914,50.93375778198242,54.37858200073242
34,39,G7,G,76.0,166.5913543701172,54.8147087097168,183.88018798828125,57.99851989746094,112.35067749023438,709.1282348632812,103.53022003173828,7.670450687408447,13.814349174499512,73.7814712524414,18.25860595703125,29.757516860961914
35,40,Cmin(maj7),C,78.0,33359.328125,5769.6328125,5280.86767578125,15756.7451171875,4603.44482421875,6170.42822265625,2490.45654296875,6935.5234375,1550.380859375,1975.2593994140625,9848.0224609375,15384.2978515625
