,Measure,Rain Dance,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10,8,Amin7,A,14.0,520.4834594726562,135.13137817382812,94.60588836669922,215.5596466064453,890.277099609375,209.25941467285156,102.97006225585938,482.1900329589844,256.3930969238281,518.2744140625,133.18392944335938,181.4297637939453
11,8,D7,D,15.0,706.4739379882812,297.6744079589844,565.0084838867188,134.3954315185547,233.33741760253906,321.6474304199219,1169.0972900390625,273.5904846191406,97.89212036132812,427.5393371582031,95.64730072021484,130.50303649902344
12,9,Gmin7,G,16.0,654.016357421875,433.2557678222656,1269.6632080078125,432.625,815.7953491210938,3191.150146484375,1680.7506103515625,1967.0272216796875,550.2335205078125,1521.95556640625,3221.162109375,940.0204467773438
13,10,Fmin11,F,18.0,624.9022827148438,182.18431091308594,291.8866271972656,794.4290161132812,460.8199157714844,490.6501159667969,194.0084686279297,659.5834350585938,550.9183959960938,214.82920837402344,579.25244140625,289.7796936035156
14,10,Bb13,Bb,19.0,137.2401885986328,98.59188842773438,506.7549743652344,279.83319091796875,71.02669525146484,105.33816528320312,37.79998779296875,54.01802444458008,29.32352638244629,31.931753158569336,38.54289627075195,36.25172805786133
15,11,Ebmaj7,Eb,20.0,1091.6412353515625,654.9991455078125,3038.037109375,3413.478271484375,822.7053833007812,868.6609497070312,521.7415161132812,1902.9085693359375,739.8615112304688,611.7811889648438,2476.196533203125,668.445556640625
16,12,Amin7,A,22.0,534.320556640625,133.98406982421875,85.02643585205078,251.47459411621094,889.0680541992188,187.2827606201172,105.95972442626953,484.6471862792969,253.8438720703125,525.4544067382812,140.84584045410156,183.91644287109375
17,12,D7,D,23.0,761.752685546875,376.4934997558594,967.582275390625,201.0647735595703,235.69395446777344,321.133056640625,1142.8104248046875,261.7734680175781,108.77816009521484,530.06396484375,120.83551788330078,141.39976501464844
18,13,Gmin7,G,24.0,332.1003112792969,367.6276550292969,1265.9342041015625,402.6559753417969,728.3569946289062,3219.652099609375,1516.1787109375,1727.5631103515625,435.7705993652344,959.1398315429688,1929.1207275390625,384.6786193847656
19,14,Eb9,Eb,26.0,154.189697265625,561.9329223632812,347.8469543457031,386.765869140625,277.6613464355469,888.3973999023438,342.8995361328125,863.917724609375,251.02223205566406,251.90814208984375,572.4402465820312,137.54776000976562
20,14,D7,D,27.0,594.922119140625,385.0293884277344,630.662353515625,206.24684143066406,207.664794921875,567.502197265625,1215.9307861328125,238.14463806152344,247.73309326171875,1487.2569580078125,280.9529113769531,114.70559692382812
21,15,Gmin7,G,28.0,770.6405639648438,848.5686645507812,3896.906982421875,1045.9210205078125,841.6354370117188,3476.632080078125,1553.45947265625,1810.8895263671875,509.7989196777344,1041.6585693359375,2124.4228515625,500.1220397949219
22,16,Amin7,A,30.0,446.2080078125,173.9255828857422,139.11212158203125,242.39088439941406,883.5365600585938,209.16978454589844,121.34072875976562,507.1850280761719,354.9886779785156,1127.1248779296875,220.22962951660156,181.16517639160156
23,16,D7,D,31.0,72.84170532226562,43.980194091796875,178.8101806640625,74.08658599853516,165.49456787109375,50.92441940307617,19.06755256652832,45.440120697021484,19.526336669921875,44.1027717590332,7.679304599761963,21.13336944580078
24,17,Eb9,Eb,32.0,272.1974792480469,624.2454223632812,591.6289672851562,424.6511535644531,295.8316650390625,1010.7658081054688,712.626953125,1400.1429443359375,340.44866943359375,311.0050048828125,587.7325439453125,170.87889099121094
25,17,D7,D,33.0,557.3397827148438,380.6142578125,603.155029296875,201.0218048095703,201.09112548828125,510.3159484863281,1078.673828125,223.4171600341797,247.2237548828125,1478.8209228515625,274.588623046875,109.52493286132812
26,18,Gmin7,G,34.0,116.97491455078125,220.5928497314453,932.4055786132812,237.4127655029297,214.86663818359375,845.240478515625,577.8975219726562,1361.6392822265625,315.0069885253906,309.666015625,559.5829467773438,141.4062957763672
27,18,Fmin11,F,35.0,563.9852905273438,195.4441375732422,392.7740173339844,800.4851684570312,495.6869201660156,595.5021362304688,215.1609344482422,627.5026245117188,545.6114501953125,222.4775390625,596.0779418945312,275.2524719238281
28,19,C9,C,36.0,845.1416015625,290.911376953125,923.6288452148438,633.7021484375,1179.1075439453125,312.4546203613281,137.4160919189453,607.3213500976562,167.10140991210938,134.613037109375,503.9275817871094,299.5570983886719
29,19,Eb9,Eb,37.0,89.45199584960938,36.95725631713867,83.6792984008789,74.70452117919922,233.075439453125,81.01715850830078,19.43218421936035,46.787662506103516,192.6051025390625,1283.1829833984375,229.2632293701172,35.660614013671875
30,20,Dmin11,D,38.0,2475.430908203125,1263.6397705078125,1276.433837890625,1364.1158447265625,3682.621826171875,2373.640869140625,1054.324951171875,3604.016845703125,1273.126953125,2014.00244140625,797.430419921875,740.7919921875
31,21,Cmin7,C,40.0,538.0692749023438,159.00506591796875,318.9731140136719,989.444091796875,312.2633361816406,113.52874755859375,104.0061264038086,454.5074462890625,100.90567016601562,122.0387954711914,591.2870483398438,238.8621368408203
32,21,F7,F,41.0,603.26904296875,156.86868286132812,264.6205139160156,1144.0223388671875,597.5518798828125,479.9066162109375,119.8716812133789,169.3966522216797,219.6647491455078,839.8518676757812,1642.80615234375,366.6978759765625
33,22,Bbmaj7,Bb,42.0,168.32798767089844,226.3369598388672,658.4397583007812,433.19482421875,351.0433349609375,986.3154296875,261.4377136230469,67.95841217041016,105.53231811523438,557.3869018554688,576.4013061523438,137.43463134765625
34,22,D7,D,43.0,577.3667602539062,274.1628112792969,669.9227294921875,176.16876220703125,137.5952606201172,517.1996459960938,1163.5362548828125,212.7424774169922,77.31604766845703,365.8175964355469,102.41448211669922,108.78755950927734
35,23,Gmin9,G,44.0,158.94178771972656,159.06109619140625,379.031005859375,125.82693481445312,240.92820739746094,861.8452758789062,472.4571838378906,502.8357238769531,190.2147216796875,532.3079223632812,593.899658203125,146.90916442871094
36,23,Bb,Bb,45.0,207.49713134765625,48.24867248535156,62.3995246887207,35.54936599731445,59.40290832519531,204.57472229003906,54.7264289855957,112.3822021484375,27.7799015045166,26.352205276489258,23.336599349975586,36.50181579589844
37,24,C13,C,46.0,780.337646484375,613.598388671875,1227.2872314453125,1036.3570556640625,2636.969970703125,3880.639892578125,1399.1973876953125,1956.7589111328125,1319.5538330078125,6294.29052734375,4215.64599609375,842.5098266601562
38,25,C13,C,48.0,215.4941864013672,188.758544921875,373.3577575683594,323.3914489746094,677.5133666992188,959.2328491210938,461.2099609375,989.5516967773438,310.8057861328125,581.8987426757812,645.8226318359375,210.13853454589844
39,25,F7,F,49.0,481.1740417480469,213.02745056152344,570.3041381835938,881.1851196289062,1247.3251953125,1927.8448486328125,412.3153076171875,377.9432678222656,231.5211944580078,588.9517211914062,221.2294921875,168.45668029785156
40,27,F7,F,52.0,564.7901000976562,142.7567596435547,225.9917755126953,1018.4951171875,549.0414428710938,394.7493591308594,101.26317596435547,118.7296371459961,192.22186279296875,521.6544799804688,145.6249542236328,146.8942413330078
41,27,Eb9,Eb,53.0,290.35052490234375,599.866455078125,382.0679931640625,563.1720581054688,363.5467224121094,1053.648681640625,304.7586975097656,536.6411743164062,202.9341278076172,294.1690368652344,589.1676025390625,155.2290496826172
42,28,F7,F,54.0,2183.2099609375,737.6317749023438,958.2162475585938,3947.861328125,1790.0379638671875,1882.9339599609375,383.6341247558594,505.5688781738281,646.3243408203125,2086.749267578125,515.1533813476562,511.5733337402344
43,29,F7,F,56.0,622.1672973632812,163.3472900390625,225.6709442138672,944.3060913085938,537.2828979492188,474.483154296875,106.59844970703125,134.28013610839844,207.81285095214844,563.1405029296875,158.17897033691406,158.03564453125
44,29,D7,D,57.0,6605.142578125,2050.633544921875,3727.606689453125,3058.897705078125,1217.869384765625,2590.785400390625,10602.404296875,1903.2841796875,703.1099243164062,3490.837158203125,762.8869018554688,1109.263916015625
