,Measure,are you real,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,11,Bb7,Bb,21.0,583.6964111328125,246.85736083984375,660.4707641601562,203.26470947265625,319.3461608886719,1184.7020263671875,346.4190368652344,489.0345153808594,174.98057556152344,418.608642578125,105.14701080322266,118.2866439819336
14,12,Dmin7,D,22.0,70.44551086425781,22.455787658691406,59.70793533325195,32.55600357055664,39.58964920043945,212.7861785888672,42.311866760253906,31.01441192626953,12.23537826538086,26.82818031311035,6.47390604019165,14.9110746383667
15,12,G7,G,23.0,292.7889709472656,535.7193603515625,239.4518280029297,105.97960662841797,268.9604797363281,1290.2177734375,279.8368225097656,224.8463134765625,437.8482971191406,104.84203338623047,106.30452728271484,520.5100708007812
16,13,Db7,Db,24.0,32.77552032470703,78.53199768066406,39.90225601196289,14.716633796691895,32.26255416870117,207.30482482910156,39.459678649902344,7.52914571762085,25.330656051635742,11.865486145019531,6.287878036499023,29.746477127075195
17,13,C7,C,25.0,681.9443359375,197.344482421875,231.0832977294922,847.4596557617188,754.6914672851562,554.3826904296875,138.19712829589844,331.52557373046875,520.5919799804688,191.5165252685547,269.5492858886719,202.6543731689453
18,14,Fmin7,F,26.0,432.5181579589844,126.24774932861328,153.21607971191406,751.0188598632812,393.0792236328125,589.7402954101562,114.52291107177734,99.03437042236328,76.72351837158203,101.34579467773438,63.45890808105469,102.84171295166016
19,15,Bb7,Bb,28.0,55.16862487792969,65.78466796875,278.0689392089844,496.7960205078125,227.19700622558594,780.3652954101562,163.68417358398438,212.4359588623047,108.87799072265625,52.86336898803711,108.92993927001953,46.032588958740234
20,16,Ebmaj7,Eb,30.0,20.626970291137695,38.3816032409668,264.2912292480469,651.473388671875,97.85662078857422,71.98828125,53.93056106567383,293.3764953613281,51.24740982055664,19.174074172973633,90.9242172241211,20.042383193969727
21,17,Dmin7,D,32.0,226.2147674560547,188.30860900878906,728.0642700195312,300.2897033691406,280.5965881347656,1044.2523193359375,471.8472900390625,624.1223754882812,1176.06982421875,487.0831298828125,188.196044921875,579.2518920898438
22,17,G7,G,33.0,604.8482055664062,165.8424072265625,290.4562683105469,792.5779418945312,412.955322265625,506.1074523925781,128.33470153808594,232.78929138183594,490.9037780761719,153.4092254638672,75.48173522949219,191.2730255126953
23,18,Fmin7,F,34.0,410.1409912109375,117.02637481689453,185.0863037109375,701.2279663085938,237.3997344970703,758.6742553710938,135.09738159179688,77.23735046386719,67.77490997314453,95.13243865966797,46.562557220458984,127.08582305908203
24,19,Bb7,Bb,36.0,75.01764678955078,52.58967971801758,203.12010192871094,229.0326690673828,176.1938018798828,886.4839477539062,150.7947998046875,72.53832244873047,92.96627807617188,81.21199035644531,56.098876953125,35.97890853881836
25,20,Gmin7,G,38.0,82.11771392822266,106.1220703125,373.5656433105469,139.27235412597656,165.51454162597656,995.3145141601562,638.3662719726562,3569.459716796875,578.1917114257812,117.45108795166016,50.74233627319336,55.0565299987793
26,21,C7(#9),C,40.0,295.3059997558594,70.25031280517578,155.45701599121094,168.76478576660156,627.5441284179688,321.4952087402344,307.4659729003906,1902.4794921875,322.7871398925781,44.74028015136719,113.69766235351562,95.59555053710938
27,22,F#7,F#,42.0,31.000579833984375,96.51261138916016,27.34345245361328,48.25177001953125,170.8330841064453,60.8404655456543,74.66940307617188,17.844640731811523,28.733610153198242,10.482918739318848,15.409771919250488,7.110435962677002
28,22,B7,B,43.0,453.9970703125,159.02391052246094,315.7920227050781,769.2090454101562,414.1760559082031,523.9581298828125,587.95849609375,1577.1446533203125,756.2537231445312,281.9884948730469,143.60125732421875,335.2975769042969
29,23,Fmin7,F,44.0,180.7176055908203,276.1821594238281,1398.1624755859375,576.8975219726562,365.0179138183594,1016.87353515625,432.93798828125,1128.205810546875,660.2401733398438,319.8007507324219,608.1013793945312,192.26368713378906
30,23,Bb7,Bb,45.0,65.1490249633789,159.4508819580078,1073.0863037109375,1106.9757080078125,244.7653045654297,284.0481262207031,246.9703369140625,1215.106689453125,273.3897399902344,153.65411376953125,586.8953857421875,155.81922912597656
31,24,Ebmaj7,Eb,46.0,35.9533576965332,36.1695556640625,165.4592742919922,631.7203369140625,115.39657592773438,127.94451904296875,74.77910614013672,159.23199462890625,37.91813278198242,24.21306610107422,108.20442962646484,42.33332443237305
32,25,Dmin7,D,48.0,209.87571716308594,139.9330596923828,411.5643005371094,200.4628143310547,243.42088317871094,1010.8164672851562,433.86767578125,470.1795654296875,125.10811614990234,137.45372009277344,151.0216522216797,552.8445434570312
33,25,G7,G,49.0,25.687171936035156,7.726172924041748,29.99616813659668,19.836347579956055,25.202735900878906,139.05148315429688,34.999595642089844,13.49973201751709,2.2907636165618896,3.137834310531616,13.046319007873535,55.813716888427734
