,Measure,Days of Wine and Roses,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
18,17,Fmaj7,F,32.0,1458.3956298828125,271.197021484375,81.67716217041016,122.82513427734375,537.5054321289062,234.4180145263672,86.7627944946289,133.0284881591797,126.61852264404297,457.8160095214844,168.5588836669922,254.9192657470703
19,18,Eb7,Eb,34.0,144.31546020507812,204.2751922607422,126.2202377319336,324.8880310058594,321.2793884277344,175.31146240234375,51.1148681640625,149.44935607910156,44.90464782714844,61.1798210144043,173.4451141357422,75.19770050048828
20,19,D7,D,36.0,795.5835571289062,244.97938537597656,349.6468505859375,328.8194885253906,157.48602294921875,116.91653442382812,391.5555725097656,330.3520812988281,153.4623260498047,541.9222412109375,127.266845703125,132.04759216308594
21,20,D7,D,38.0,272.9027099609375,110.72626495361328,225.181640625,82.5291976928711,45.48199462890625,104.09815216064453,435.6365966796875,91.79046630859375,37.600555419921875,160.2330780029297,48.621028900146484,49.69880676269531
22,21,Gmin7,G,40.0,79.57955932617188,81.18180847167969,167.6805419921875,79.80615997314453,240.55543518066406,331.9876403808594,204.65379333496094,168.2713165283203,724.3088989257812,4916.26220703125,880.1116333007812,60.43217468261719
23,22,Gmin7,G,42.0,29.080162048339844,102.03762817382812,456.1273193359375,114.17082977294922,121.5294189453125,485.8685302734375,198.1977081298828,154.33189392089844,60.3975715637207,96.11292266845703,171.5812530517578,43.68963623046875
24,23,Bbmin7,Bb,44.0,76.38489532470703,205.92735290527344,175.65887451171875,67.52143096923828,277.57452392578125,552.9951782226562,121.09464263916016,72.19458770751953,783.2328491210938,4660.11279296875,861.3123168945312,66.75582122802734
25,24,Eb7,Eb,46.0,119.19992065429688,697.0830078125,215.62440490722656,293.61199951171875,113.6121826171875,271.4391174316406,77.52690887451172,143.12677001953125,73.57073211669922,48.00776290893555,172.0153350830078,57.71969985961914
26,25,Amin7,A,48.0,174.6182403564453,143.0878448486328,269.8448791503906,346.154541015625,327.41827392578125,139.84861755371094,545.7290649414062,3805.552001953125,712.9037475585938,589.7316284179688,135.76116943359375,93.81121063232422
27,26,Dmin7,D,50.0,620.6358642578125,252.61585998535156,746.2968139648438,260.3502197265625,720.6071166992188,422.8385314941406,141.7468719482422,99.27246856689453,129.84280395507812,161.6460418701172,56.05891418457031,155.45741271972656
28,27,Bmin7,B,52.0,753.1130981445312,198.4418487548828,273.9251403808594,147.20687866210938,267.5512390136719,336.56024169921875,429.948486328125,290.2720642089844,178.5918731689453,641.9734497070312,147.0808868408203,265.5525207519531
29,28,Bb7,Bb,54.0,60.12770462036133,61.51141357421875,249.292236328125,83.94469451904297,92.73828887939453,331.31768798828125,162.5642547607422,52.167850494384766,156.488037109375,131.56629943847656,192.9998779296875,142.94659423828125
30,29,Amin7,A,56.0,6.999189853668213,32.75486373901367,194.37770080566406,33.8250846862793,21.743730545043945,78.69231414794922,49.88229751586914,10.478760719299316,17.234325408935547,82.57882690429688,22.690185546875,11.323010444641113
31,29,Dmin7,D,57.0,226.0710906982422,54.95002365112305,16.166221618652344,75.33636474609375,411.8252258300781,97.72307586669922,45.93400192260742,202.959228515625,254.2435302734375,1374.7698974609375,206.06724548339844,54.58858871459961
32,30,Gmin7,G,58.0,402.37646484375,219.51593017578125,548.627197265625,168.40382385253906,295.8899841308594,1015.9110717773438,279.1221923828125,132.3655242919922,108.4736328125,434.4114990234375,90.39057159423828,84.19999694824219
33,30,C7,C,59.0,44.6774787902832,40.98331832885742,96.98944091796875,36.74058532714844,160.54774475097656,383.4489440917969,87.33049774169922,118.8700180053711,326.5268249511719,2201.779052734375,452.2406311035156,60.98945617675781
34,31,Fmaj7,F,60.0,1036.980224609375,407.3460693359375,1647.5330810546875,545.2665405273438,1691.72509765625,633.9967651367188,198.1652374267578,658.1744995117188,282.7264404296875,394.439453125,544.6448364257812,280.5467224121094
35,32,Gmin7,G,62.0,44.32961654663086,9.625338554382324,5.84038782119751,12.635350227355957,71.51886749267578,40.58626937866211,7.122813701629639,4.637521266937256,2.5740840435028076,4.334841251373291,5.597264766693115,10.38371467590332
36,32,C7,C,63.0,789.809814453125,413.2992248535156,1130.9683837890625,515.0292358398438,2133.162353515625,4312.90576171875,885.3406372070312,1349.0555419921875,314.3365478515625,543.0995483398438,1479.8399658203125,531.1565551757812
